game,day,CDA.score,CH.score,CDA.score.marketshare,CH.score.marketshare,CDA.score.profit,CH.score.profit,CDA.score.transactionrate,CH.score.transactionrate,CDA.profit,CH.profit,CDA.trader,CH.trader,CDA.fee.registration,CDA.fee.information,CDA.fee.shout,CDA.fee.transaction,CDA.fee.profit,CH.fee.registration,CH.fee.information,CH.fee.shout,CH.fee.transaction,CH.fee.profit,CDA.transaction.price.min,CH.transaction.price.min,global.equilibrium.price
0,0,+0.444,+0.611,+0.475,+0.525,+0.358,+0.642,+0.500,+0.667,+11.601,+20.763,NaN,NaN,+0.100,+0.200,+0.300,+0.400,+0.100,+0.100,+0.200,+0.300,+0.400,+0.100,+72.328,+72.466,+68.898
0,1,+0.313,+0.354,+0.475,+0.525,+0.464,+0.536,+0.000,+0.000,+4.500,+5.204,NaN,NaN,+0.100,+0.200,+0.300,+0.400,+0.100,+0.100,+0.200,+0.300,+0.400,+0.100,NaN,NaN,+0.000
0,2,+0.309,+0.357,+0.475,+0.525,+0.453,+0.547,+0.000,+0.000,+4.800,+5.800,NaN,NaN,+0.100,+0.200,+0.300,+0.400,+0.100,+0.100,+0.200,+0.300,+0.400,+0.100,NaN,NaN,+0.000
0,3,+0.372,+0.295,+0.575,+0.425,+0.541,+0.459,+0.000,+0.000,+4.600,+3.900,NaN,NaN,+0.100,+0.200,+0.300,+0.400,+0.100,+0.100,+0.200,+0.300,+0.400,+0.100,NaN,NaN,+0.000
0,4,+0.375,+0.291,+0.550,+0.450,+0.576,+0.424,+0.000,+0.000,+4.476,+3.300,NaN,NaN,+0.100,+0.200,+0.300,+0.400,+0.100,+0.100,+0.200,+0.300,+0.400,+0.100,NaN,NaN,+0.000
0,5,+0.312,+0.354,+0.500,+0.500,+0.437,+0.563,+0.000,+0.000,+3.732,+4.800,NaN,NaN,+0.100,+0.200,+0.300,+0.400,+0.100,+0.100,+0.200,+0.300,+0.400,+0.100,NaN,NaN,+0.000
0,6,+0.364,+0.303,+0.550,+0.450,+0.542,+0.458,+0.000,+0.000,+4.500,+3.800,NaN,NaN,+0.100,+0.200,+0.300,+0.400,+0.100,+0.100,+0.200,+0.300,+0.400,+0.100,NaN,NaN,+0.000
0,7,+0.341,+0.326,+0.525,+0.475,+0.497,+0.503,+0.000,+0.000,+4.749,+4.800,NaN,NaN,+0.100,+0.200,+0.300,+0.400,+0.100,+0.100,+0.200,+0.300,+0.400,+0.100,NaN,NaN,+0.000
0,8,+0.352,+0.315,+0.550,+0.450,+0.505,+0.495,+0.000,+0.000,+4.600,+4.500,NaN,NaN,+0.100,+0.200,+0.300,+0.400,+0.100,+0.100,+0.200,+0.300,+0.400,+0.100,NaN,NaN,+0.000
0,9,+0.349,+0.318,+0.525,+0.475,+0.521,+0.479,+0.000,+0.000,+5.000,+4.600,NaN,NaN,+0.100,+0.200,+0.300,+0.400,+0.100,+0.100,+0.200,+0.300,+0.400,+0.100,NaN,NaN,+0.000
0,10,+0.350,+0.317,+0.575,+0.425,+0.475,+0.525,+0.000,+0.000,+3.805,+4.200,NaN,NaN,+0.100,+0.200,+0.300,+0.400,+0.100,+0.100,+0.200,+0.300,+0.400,+0.100,NaN,NaN,+0.000
0,11,+0.380,+0.286,+0.575,+0.425,+0.566,+0.434,+0.000,+0.000,+4.200,+3.227,NaN,NaN,+0.100,+0.200,+0.300,+0.400,+0.100,+0.100,+0.200,+0.300,+0.400,+0.100,NaN,NaN,+0.000
0,12,+0.420,+0.247,+0.650,+0.350,+0.609,+0.391,+0.000,+0.000,+5.600,+3.600,NaN,NaN,+0.100,+0.200,+0.300,+0.400,+0.100,+0.100,+0.200,+0.300,+0.400,+0.100,NaN,NaN,+0.000
0,13,+0.387,+0.280,+0.625,+0.375,+0.536,+0.464,+0.000,+0.000,+4.500,+3.900,NaN,NaN,+0.100,+0.200,+0.300,+0.400,+0.100,+0.100,+0.200,+0.300,+0.400,+0.100,NaN,NaN,+0.000
0,14,+0.408,+0.258,+0.600,+0.400,+0.625,+0.375,+0.000,+0.000,+5.000,+3.000,NaN,NaN,+0.100,+0.200,+0.300,+0.400,+0.100,+0.100,+0.200,+0.300,+0.400,+0.100,NaN,NaN,+0.000
0,15,+0.374,+0.292,+0.525,+0.475,+0.598,+0.402,+0.000,+0.000,+5.200,+3.500,NaN,NaN,+0.100,+0.200,+0.300,+0.400,+0.100,+0.100,+0.200,+0.300,+0.400,+0.100,NaN,NaN,+0.000
0,16,+0.369,+0.297,+0.550,+0.450,+0.558,+0.442,+0.000,+0.000,+5.200,+4.125,NaN,NaN,+0.100,+0.200,+0.300,+0.400,+0.100,+0.100,+0.200,+0.300,+0.400,+0.100,NaN,NaN,+0.000
0,17,+0.374,+0.293,+0.575,+0.425,+0.546,+0.454,+0.000,+0.000,+5.300,+4.400,NaN,NaN,+0.100,+0.200,+0.300,+0.400,+0.100,+0.100,+0.200,+0.300,+0.400,+0.100,NaN,NaN,+0.000
0,18,+0.329,+0.338,+0.525,+0.475,+0.461,+0.539,+0.000,+0.000,+3.928,+4.600,NaN,NaN,+0.100,+0.200,+0.300,+0.400,+0.100,+0.100,+0.200,+0.300,+0.400,+0.100,NaN,NaN,+0.000
0,19,+0.381,+0.285,+0.575,+0.425,+0.569,+0.431,+0.000,+0.000,+4.800,+3.640,NaN,NaN,+0.100,+0.200,+0.300,+0.400,+0.100,+0.100,+0.200,+0.300,+0.400,+0.100,NaN,NaN,+0.000
