game,day,buyerGD_0.value,buyerGD_1.value,buyerGD_2.value,buyerGD_3.value,buyerGD_4.value,buyerRE_0.value,buyerRE_1.value,buyerRE_2.value,buyerRE_3.value,buyerRE_4.value,buyerZIC_0.value,buyerZIC_1.value,buyerZIC_2.value,buyerZIC_3.value,buyerZIC_4.value,buyerZIP_0.value,buyerZIP_1.value,buyerZIP_2.value,buyerZIP_3.value,buyerZIP_4.value,sellerGD_0.value,sellerGD_1.value,sellerGD_2.value,sellerGD_3.value,sellerGD_4.value,sellerRE_0.value,sellerRE_1.value,sellerRE_2.value,sellerRE_3.value,sellerRE_4.value,sellerZIC_0.value,sellerZIC_1.value,sellerZIC_2.value,sellerZIC_3.value,sellerZIC_4.value,sellerZIP_0.value,sellerZIP_1.value,sellerZIP_2.value,sellerZIP_3.value,sellerZIP_4.value
0,0,+9213.915,+8965.224,+8091.143,+94.445,+3877.191,+1635.352,+1883.467,+7594.066,+8716.114,+7941.162,+1949.195,+9288.894,+5722.775,+4279.657,+5257.153,+9489.708,+8307.447,+2506.178,+718.684,+5334.642,+101.851,+104.034,+100.393,+96.874,+95.562,+95.721,+104.591,+98.472,+100.292,+97.312,+102.636,+103.218,+104.763,+100.405,+96.770,+99.345,+98.857,+97.501,+103.682,+101.890
0,1,+361.529,+5120.917,+3026.662,+9495.885,+8066.491,+7303.004,+1695.342,+8795.215,+1566.601,+4397.088,+2032.287,+8547.791,+1163.625,+3223.086,+5232.842,+1046.114,+7284.935,+2161.159,+6387.733,+6687.272,+97.835,+99.949,+102.868,+96.605,+99.768,+96.364,+102.165,+102.545,+104.900,+100.555,+97.701,+95.475,+99.939,+102.064,+96.957,+99.838,+97.206,+101.438,+98.432,+103.358
0,2,+7082.260,+2059.325,+8048.670,+1276.159,+6375.769,+3339.535,+6312.870,+9843.125,+6548.724,+1315.905,+9543.807,+4841.872,+4431.631,+4978.943,+5785.142,+6344.303,+8086.795,+2512.215,+3902.985,+188.279,+99.807,+103.702,+101.599,+102.545,+99.650,+100.052,+101.045,+102.534,+102.209,+101.892,+96.316,+102.522,+98.599,+102.656,+96.220,+102.644,+96.661,+98.457,+96.105,+95.868
0,3,+5333.016,+7399.902,+5251.893,+5279.313,+7476.240,+5073.398,+4136.096,+8412.269,+4662.868,+1829.640,+9143.361,+4042.969,+7135.658,+3257.210,+6968.865,+7220.911,+4.657,+7896.166,+6539.477,+1293.904,+96.298,+95.116,+99.426,+101.625,+101.937,+95.632,+98.144,+100.787,+103.722,+104.276,+102.358,+104.420,+97.039,+100.224,+104.902,+96.103,+97.364,+103.835,+104.705,+99.498
0,4,+1349.447,+1155.793,+1919.774,+4351.700,+1129.534,+9227.624,+9917.707,+2547.235,+1587.759,+4958.505,+4285.981,+8163.651,+8204.649,+3763.188,+251.884,+5432.968,+4480.498,+8691.501,+7953.095,+3934.735,+95.812,+103.030,+97.147,+98.016,+103.629,+103.395,+104.338,+101.428,+101.986,+95.986,+104.758,+103.584,+98.064,+97.538,+98.202,+98.129,+95.846,+97.670,+100.137,+95.143
0,5,+1806.439,+3021.068,+186.510,+9014.655,+7211.328,+8627.641,+4191.423,+3091.963,+1296.782,+891.650,+2035.063,+5148.637,+5504.199,+3298.460,+612.238,+2033.063,+1183.480,+3623.384,+2397.383,+4929.019,+99.931,+95.310,+103.689,+97.788,+98.340,+96.039,+104.608,+96.399,+99.175,+95.488,+104.853,+101.575,+97.872,+95.699,+98.136,+103.429,+96.559,+99.459,+98.400,+100.490
0,6,+6583.308,+6154.479,+2496.879,+4824.738,+3842.230,+5228.395,+6830.410,+4467.906,+1805.163,+1473.487,+1170.914,+6204.220,+65.807,+3824.785,+1107.675,+9801.754,+8079.009,+1178.142,+1980.431,+717.051,+100.265,+100.649,+97.324,+104.956,+97.177,+103.174,+99.190,+96.021,+96.461,+96.295,+103.607,+103.554,+99.755,+98.796,+102.433,+102.910,+96.288,+96.712,+103.276,+104.601
0,7,+9724.789,+2087.307,+7813.475,+3870.450,+3183.665,+4592.864,+8810.380,+581.827,+4777.643,+5224.242,+6839.792,+5205.821,+3353.762,+8689.443,+9285.318,+923.831,+5297.543,+4301.746,+1353.218,+9063.216,+101.189,+100.629,+100.953,+104.601,+96.020,+96.212,+96.610,+103.885,+98.633,+101.872,+100.993,+95.845,+97.841,+103.171,+97.373,+104.363,+98.439,+103.119,+100.157,+99.684
0,8,+12.545,+9339.907,+2453.589,+2898.647,+5857.675,+2734.651,+9353.077,+3036.049,+547.594,+6812.472,+8851.348,+1052.746,+5832.998,+440.615,+1112.343,+7646.300,+9811.294,+764.085,+709.433,+4863.449,+101.370,+96.235,+97.283,+98.998,+100.502,+100.383,+95.787,+101.491,+95.421,+101.496,+98.661,+101.710,+97.459,+100.497,+95.255,+98.222,+102.915,+97.950,+101.196,+100.123
0,9,+1608.845,+7675.072,+6621.985,+9263.557,+7127.522,+8538.751,+6929.698,+3174.896,+6126.421,+2927.685,+7570.491,+4752.871,+3644.913,+8972.758,+5869.660,+1553.363,+7598.078,+684.590,+7758.408,+1244.043,+104.996,+104.293,+99.882,+102.327,+103.082,+98.342,+103.401,+103.168,+104.905,+95.505,+100.856,+96.452,+99.055,+102.474,+101.764,+99.590,+101.055,+97.151,+104.339,+97.405
