game,day,CDA.transaction.quantity,CH.transaction.quantity,CDA.transaction.price.min,CH.transaction.price.min,CDA.transaction.price.max,CH.transaction.price.max,CDA.transaction.price.mean,CH.transaction.price.mean,CDA.transaction.price.stdev,CH.transaction.price.stdev,CDA.ask.accepted.price.min,CDA.bid.accepted.price.min,CH.ask.accepted.price.min,CH.bid.accepted.price.min,CDA.ask.accepted.price.max,CDA.bid.accepted.price.max,CH.ask.accepted.price.max,CH.bid.accepted.price.max,CDA.ask.accepted.quantity,CDA.bid.accepted.quantity,CH.ask.accepted.quantity,CH.bid.accepted.quantity,CDA.ask.accepted.price.stdev,CDA.bid.accepted.price.stdev,CH.ask.accepted.price.stdev,CH.bid.accepted.price.stdev
0,0,+2.000,+18.000,+89.901,+87.478,+96.711,+107.309,+93.306,+100.734,+3.405,+6.557,+79.887,+97.509,+66.879,+91.492,+95.914,+99.915,+105.090,+127.673,+2.000,+2.000,+18.000,+18.000,+8.014,+1.203,+12.882,+9.567
0,1,+1.000,+13.000,+99.556,+96.793,+99.556,+110.735,+99.556,+101.840,+0.000,+3.385,+94.556,+104.556,+85.603,+99.597,+94.556,+104.556,+103.749,+141.945,+1.000,+1.000,+13.000,+13.000,+0.000,+0.000,+4.647,+13.973
0,2,+12.000,+18.000,+84.765,+78.666,+115.166,+98.987,+96.595,+91.912,+6.675,+4.579,+78.968,+90.562,+71.361,+86.758,+108.964,+121.368,+95.826,+124.038,+12.000,+12.000,+18.000,+18.000,+7.007,+7.167,+5.978,+7.830
0,3,+6.000,+19.000,+76.498,+86.951,+89.765,+109.843,+83.868,+95.188,+6.078,+6.152,+75.828,+77.169,+70.303,+88.837,+88.968,+90.562,+107.692,+132.446,+6.000,+6.000,+19.000,+19.000,+6.570,+5.997,+9.294,+15.594
0,4,+7.000,+11.000,+81.435,+101.012,+92.499,+115.550,+84.759,+107.784,+3.471,+4.147,+79.186,+82.552,+71.474,+105.512,+83.359,+101.638,+108.243,+121.304,+7.000,+7.000,+11.000,+11.000,+1.902,+5.976,+14.569,+5.664
0,5,+6.000,+11.000,+90.059,+106.640,+98.620,+110.800,+95.079,+108.149,+2.811,+1.457,+74.593,+105.090,+65.862,+107.768,+83.291,+116.452,+108.791,+137.582,+6.000,+6.000,+11.000,+11.000,+3.522,+5.681,+14.543,+12.454
0,6,+9.000,+14.000,+75.221,+98.974,+96.835,+104.206,+89.749,+100.797,+8.177,+1.800,+56.959,+93.483,+88.129,+101.883,+95.009,+102.503,+101.825,+123.250,+9.000,+9.000,+14.000,+14.000,+14.623,+3.060,+3.148,+5.711
0,7,+10.000,+15.000,+93.863,+71.292,+114.947,+91.663,+103.112,+83.963,+7.551,+6.247,+82.054,+97.636,+57.492,+71.646,+111.658,+118.235,+80.066,+128.212,+10.000,+10.000,+15.000,+15.000,+9.921,+6.809,+6.704,+18.912
0,8,+11.000,+15.000,+80.208,+85.535,+110.183,+94.332,+95.156,+89.552,+8.268,+2.816,+69.348,+84.735,+69.169,+92.552,+109.984,+110.381,+90.074,+107.759,+11.000,+11.000,+15.000,+15.000,+11.233,+9.422,+5.699,+5.267
0,9,+6.000,+15.000,+100.121,+96.356,+127.251,+107.248,+110.062,+103.131,+8.877,+3.526,+89.861,+110.381,+66.118,+104.620,+126.879,+127.624,+103.588,+137.452,+6.000,+6.000,+15.000,+15.000,+13.561,+6.290,+10.080,+11.429
0,10,+15.000,+13.000,+68.336,+71.570,+113.092,+99.566,+82.772,+87.905,+12.567,+10.556,+56.908,+76.438,+62.460,+76.189,+90.305,+137.216,+94.272,+114.444,+15.000,+15.000,+13.000,+13.000,+10.930,+16.832,+11.495,+14.057
0,11,+5.000,+12.000,+85.572,+84.094,+111.554,+113.617,+101.583,+99.545,+10.369,+8.256,+78.444,+92.700,+64.246,+98.682,+108.989,+114.119,+104.378,+125.473,+5.000,+5.000,+12.000,+12.000,+11.600,+9.549,+11.828,+8.309
0,12,+7.000,+6.000,+106.658,+68.818,+136.921,+90.169,+122.411,+83.050,+12.866,+7.791,+95.987,+114.812,+63.713,+73.923,+133.002,+140.840,+83.629,+107.597,+7.000,+7.000,+6.000,+6.000,+15.707,+10.649,+7.900,+10.855
0,13,+7.000,+9.000,+61.439,+91.752,+112.755,+99.740,+89.670,+97.809,+19.203,+2.235,+50.472,+72.407,+63.735,+97.848,+106.129,+119.381,+96.182,+107.136,+7.000,+7.000,+9.000,+9.000,+23.961,+17.354,+10.727,+2.661
0,14,+8.000,+13.000,+116.153,+99.226,+140.245,+109.216,+125.106,+103.732,+9.745,+2.502,+112.596,+119.576,+66.425,+101.658,+133.248,+154.333,+109.053,+112.346,+8.000,+8.000,+13.000,+13.000,+7.291,+13.004,+13.866,+3.195
0,15,+3.000,+14.000,+79.030,+96.120,+83.986,+105.026,+81.167,+99.289,+2.080,+2.676,+76.539,+81.520,+85.202,+97.149,+79.451,+88.520,+101.783,+108.842,+3.000,+3.000,+14.000,+14.000,+1.373,+3.300,+4.163,+3.955
0,16,+6.000,+12.000,+77.786,+99.659,+119.506,+111.296,+95.818,+106.905,+15.284,+3.542,+63.245,+86.705,+83.163,+105.628,+117.485,+121.527,+108.842,+129.918,+6.000,+6.000,+12.000,+12.000,+17.705,+14.069,+10.449,+9.667
0,17,+14.000,+23.000,+64.623,+100.704,+117.766,+103.975,+91.705,+100.980,+14.179,+0.725,+54.658,+74.587,+53.005,+102.699,+108.699,+126.833,+102.954,+130.687,+14.000,+14.000,+23.000,+23.000,+15.217,+14.402,+15.965,+8.985
0,18,+9.000,+13.000,+66.686,+83.420,+106.166,+97.588,+86.505,+91.052,+11.079,+4.433,+62.231,+69.979,+65.821,+85.509,+91.175,+121.157,+96.424,+122.824,+9.000,+9.000,+13.000,+13.000,+10.097,+14.410,+8.608,+9.766
0,19,+12.000,+18.000,+67.412,+83.362,+122.637,+97.674,+90.353,+93.427,+15.325,+3.658,+51.615,+77.698,+73.369,+86.356,+116.104,+129.170,+92.458,+120.132,+12.000,+12.000,+18.000,+18.000,+15.225,+18.730,+5.084,+8.176
1,0,+18.000,+12.000,+96.281,+90.717,+120.768,+99.779,+107.307,+93.712,+5.720,+3.092,+90.205,+98.829,+71.874,+92.108,+111.962,+130.702,+99.424,+101.687,+18.000,+18.000,+12.000,+12.000,+5.193,+7.395,+6.570,+3.100
1,1,+9.000,+5.000,+86.708,+101.237,+101.513,+110.127,+96.323,+104.088,+4.875,+3.251,+81.693,+91.722,+98.016,+104.457,+99.671,+103.355,+106.833,+113.421,+9.000,+9.000,+5.000,+5.000,+5.565,+4.644,+3.693,+3.644
1,2,+9.000,+12.000,+83.676,+96.582,+107.279,+120.634,+100.269,+106.922,+8.396,+7.505,+82.556,+84.797,+76.731,+102.355,+107.027,+130.768,+119.712,+143.104,+9.000,+9.000,+12.000,+12.000,+10.719,+11.396,+12.636,+11.644
1,3,+11.000,+13.000,+82.005,+75.642,+120.151,+92.413,+103.305,+84.384,+9.216,+5.551,+79.597,+84.413,+72.074,+79.011,+115.660,+127.460,+89.881,+100.193,+11.000,+11.000,+13.000,+13.000,+8.055,+10.891,+4.242,+6.907
1,4,+11.000,+9.000,+82.954,+80.803,+112.337,+87.166,+99.698,+83.674,+7.192,+2.269,+79.630,+86.278,+76.378,+81.954,+104.100,+120.661,+81.935,+124.040,+11.000,+11.000,+9.000,+9.000,+6.068,+9.084,+2.358,+14.576
1,5,+15.000,+9.000,+87.672,+87.792,+119.747,+101.672,+104.831,+96.781,+8.006,+4.265,+69.649,+96.770,+70.454,+88.733,+108.283,+132.355,+100.635,+135.931,+15.000,+15.000,+9.000,+9.000,+10.415,+8.203,+11.092,+12.446
1,6,+9.000,+16.000,+97.219,+82.729,+123.096,+91.069,+107.955,+86.757,+8.113,+3.429,+96.856,+97.583,+68.201,+83.906,+114.411,+139.530,+90.659,+127.622,+9.000,+9.000,+16.000,+16.000,+5.190,+12.646,+7.685,+13.034
1,7,+10.000,+8.000,+86.767,+91.275,+111.709,+104.719,+100.453,+95.639,+8.530,+4.288,+66.431,+98.867,+83.825,+91.683,+106.711,+118.739,+103.015,+124.737,+10.000,+10.000,+8.000,+8.000,+14.867,+5.672,+5.098,+11.231
1,8,+12.000,+20.000,+73.033,+99.502,+114.870,+106.727,+92.877,+102.259,+12.171,+2.038,+64.209,+74.623,+73.465,+103.015,+109.957,+119.783,+103.015,+128.172,+12.000,+12.000,+20.000,+20.000,+14.254,+13.260,+8.185,+7.473
1,9,+13.000,+11.000,+70.216,+86.233,+113.256,+102.219,+95.288,+90.756,+11.246,+4.217,+65.671,+74.623,+62.763,+86.773,+107.423,+119.089,+102.219,+108.037,+13.000,+13.000,+11.000,+11.000,+14.057,+11.005,+12.538,+6.442
