game,day,buyerGD_0.value,buyerGD_1.value,buyerGD_10.value,buyerGD_11.value,buyerGD_2.value,buyerGD_3.value,buyerGD_4.value,buyerGD_5.value,buyerGD_6.value,buyerGD_7.value,buyerGD_8.value,buyerGD_9.value,buyerRE_0.value,buyerRE_1.value,buyerRE_10.value,buyerRE_11.value,buyerRE_2.value,buyerRE_3.value,buyerRE_4.value,buyerRE_5.value,buyerRE_6.value,buyerRE_7.value,buyerRE_8.value,buyerRE_9.value,buyerZIC_0.value,buyerZIC_1.value,buyerZIC_10.value,buyerZIC_11.value,buyerZIC_2.value,buyerZIC_3.value,buyerZIC_4.value,buyerZIC_5.value,buyerZIC_6.value,buyerZIC_7.value,buyerZIC_8.value,buyerZIC_9.value,buyerZIP_0.value,buyerZIP_1.value,buyerZIP_10.value,buyerZIP_11.value,buyerZIP_2.value,buyerZIP_3.value,buyerZIP_4.value,buyerZIP_5.value,buyerZIP_6.value,buyerZIP_7.value,buyerZIP_8.value,buyerZIP_9.value,sellerGD_0.value,sellerGD_1.value,sellerGD_10.value,sellerGD_11.value,sellerGD_2.value,sellerGD_3.value,sellerGD_4.value,sellerGD_5.value,sellerGD_6.value,sellerGD_7.value,sellerGD_8.value,sellerGD_9.value,sellerRE_0.value,sellerRE_1.value,sellerRE_10.value,sellerRE_11.value,sellerRE_2.value,sellerRE_3.value,sellerRE_4.value,sellerRE_5.value,sellerRE_6.value,sellerRE_7.value,sellerRE_8.value,sellerRE_9.value,sellerZIC_0.value,sellerZIC_1.value,sellerZIC_10.value,sellerZIC_11.value,sellerZIC_2.value,sellerZIC_3.value,sellerZIC_4.value,sellerZIC_5.value,sellerZIC_6.value,sellerZIC_7.value,sellerZIC_8.value,sellerZIC_9.value,sellerZIP_0.value,sellerZIP_1.value,sellerZIP_10.value,sellerZIP_11.value,sellerZIP_2.value,sellerZIP_3.value,sellerZIP_4.value,sellerZIP_5.value,sellerZIP_6.value,sellerZIP_7.value,sellerZIP_8.value,sellerZIP_9.value
0,0,+21.901,+20.623,+15.067,+26.428,+2.237,+24.586,+22.431,+22.098,+24.380,+13.411,+17.415,+30.978,+27.775,+33.636,+5.234,+15.669,+10.992,+33.503,+23.566,+29.214,+26.417,+26.442,+18.621,+25.373,+12.605,+6.366,+15.293,+41.823,+32.421,+35.893,+26.047,+38.434,+17.150,+19.390,+28.707,+17.707,+44.782,+23.883,+20.218,+25.265,+19.202,+9.680,+35.278,+19.150,+15.056,+12.903,+2.297,+43.061,+103.350,+96.298,+97.582,+100.454,+95.526,+102.992,+97.607,+97.297,+98.896,+99.278,+95.605,+95.773,+97.548,+103.906,+95.623,+100.523,+100.774,+103.000,+97.676,+98.133,+103.621,+96.482,+95.953,+101.472,+95.835,+95.199,+103.049,+95.459,+97.913,+104.322,+103.043,+97.768,+104.748,+104.244,+104.473,+103.314,+102.544,+95.014,+104.836,+101.369,+96.479,+97.500,+103.483,+95.540,+103.984,+103.261,+97.656,+100.554
0,1,+21.901,+20.623,+15.067,+26.428,+2.237,+24.586,+22.431,+22.098,+24.380,+13.411,+17.415,+30.978,+27.775,+33.636,+5.234,+15.669,+10.992,+33.503,+23.566,+29.214,+26.417,+26.442,+18.621,+25.373,+12.605,+6.366,+15.293,+41.823,+32.421,+35.893,+26.047,+38.434,+17.150,+19.390,+28.707,+17.707,+44.782,+23.883,+20.218,+25.265,+19.202,+9.680,+35.278,+19.150,+15.056,+12.903,+2.297,+43.061,+104.822,+97.643,+102.992,+99.459,+96.563,+95.375,+103.857,+98.660,+96.894,+100.464,+102.863,+99.364,+103.259,+103.573,+104.384,+104.268,+104.292,+98.476,+100.805,+100.259,+101.725,+99.506,+96.913,+97.692,+104.326,+99.821,+96.482,+96.905,+102.952,+95.304,+97.465,+99.132,+97.643,+102.179,+103.427,+96.985,+104.967,+103.851,+100.879,+102.964,+96.549,+98.733,+103.019,+101.309,+101.862,+98.549,+104.835,+96.612
0,2,+21.901,+20.623,+15.067,+26.428,+2.237,+24.586,+22.431,+22.098,+24.380,+13.411,+17.415,+30.978,+27.775,+33.636,+5.234,+15.669,+10.992,+33.503,+23.566,+29.214,+26.417,+26.442,+18.621,+25.373,+12.605,+6.366,+15.293,+41.823,+32.421,+35.893,+26.047,+38.434,+17.150,+19.390,+28.707,+17.707,+44.782,+23.883,+20.218,+25.265,+19.202,+9.680,+35.278,+19.150,+15.056,+12.903,+2.297,+43.061,+97.048,+98.966,+99.215,+101.060,+101.945,+97.106,+95.651,+101.202,+102.317,+103.782,+96.127,+96.385,+102.333,+104.901,+96.275,+97.631,+102.909,+95.999,+104.593,+103.944,+98.892,+104.271,+95.547,+104.105,+100.858,+101.758,+96.564,+99.043,+96.845,+104.686,+97.921,+104.509,+102.599,+99.719,+103.838,+95.569,+104.836,+100.936,+104.406,+103.953,+97.289,+99.027,+99.894,+97.640,+96.457,+96.829,+99.219,+101.861
0,3,+21.901,+20.623,+15.067,+26.428,+2.237,+24.586,+22.431,+22.098,+24.380,+13.411,+17.415,+30.978,+27.775,+33.636,+5.234,+15.669,+10.992,+33.503,+23.566,+29.214,+26.417,+26.442,+18.621,+25.373,+12.605,+6.366,+15.293,+41.823,+32.421,+35.893,+26.047,+38.434,+17.150,+19.390,+28.707,+17.707,+44.782,+23.883,+20.218,+25.265,+19.202,+9.680,+35.278,+19.150,+15.056,+12.903,+2.297,+43.061,+102.963,+103.746,+96.215,+97.221,+98.992,+99.051,+100.816,+99.246,+101.152,+102.080,+104.161,+100.291,+103.810,+102.199,+103.261,+104.480,+102.671,+102.976,+102.032,+104.456,+95.851,+98.204,+104.651,+99.313,+101.193,+96.129,+95.232,+101.538,+100.922,+96.239,+95.159,+99.837,+97.663,+98.208,+99.895,+103.147,+96.497,+100.094,+101.943,+103.456,+99.094,+96.082,+95.245,+98.942,+102.069,+103.331,+96.153,+95.211
0,4,+21.901,+20.623,+15.067,+26.428,+2.237,+24.586,+22.431,+22.098,+24.380,+13.411,+17.415,+30.978,+27.775,+33.636,+5.234,+15.669,+10.992,+33.503,+23.566,+29.214,+26.417,+26.442,+18.621,+25.373,+12.605,+6.366,+15.293,+41.823,+32.421,+35.893,+26.047,+38.434,+17.150,+19.390,+28.707,+17.707,+44.782,+23.883,+20.218,+25.265,+19.202,+9.680,+35.278,+19.150,+15.056,+12.903,+2.297,+43.061,+97.394,+104.543,+104.306,+102.655,+102.570,+95.135,+97.085,+102.147,+99.707,+104.113,+96.041,+95.716,+100.170,+97.659,+95.515,+97.989,+99.691,+102.198,+99.190,+96.006,+104.003,+99.625,+101.564,+96.729,+97.435,+101.380,+98.340,+97.557,+96.245,+104.870,+104.480,+100.982,+97.179,+104.467,+103.967,+102.789,+97.825,+96.194,+98.716,+98.128,+104.656,+95.130,+104.367,+102.242,+95.997,+100.921,+100.739,+103.598
0,5,+21.901,+20.623,+15.067,+26.428,+2.237,+24.586,+22.431,+22.098,+24.380,+13.411,+17.415,+30.978,+27.775,+33.636,+5.234,+15.669,+10.992,+33.503,+23.566,+29.214,+26.417,+26.442,+18.621,+25.373,+12.605,+6.366,+15.293,+41.823,+32.421,+35.893,+26.047,+38.434,+17.150,+19.390,+28.707,+17.707,+44.782,+23.883,+20.218,+25.265,+19.202,+9.680,+35.278,+19.150,+15.056,+12.903,+2.297,+43.061,+101.938,+99.346,+104.428,+103.479,+98.620,+98.675,+101.993,+95.633,+102.664,+97.670,+98.646,+95.128,+101.767,+103.456,+100.157,+103.941,+103.125,+98.357,+96.370,+100.373,+97.084,+104.754,+97.525,+101.360,+99.619,+95.158,+98.086,+102.866,+99.133,+101.975,+96.341,+103.390,+104.575,+104.005,+101.781,+100.188,+104.192,+98.487,+95.596,+95.321,+100.606,+101.962,+99.881,+99.307,+98.167,+98.889,+101.574,+95.254
0,6,+21.901,+20.623,+15.067,+26.428,+2.237,+24.586,+22.431,+22.098,+24.380,+13.411,+17.415,+30.978,+27.775,+33.636,+5.234,+15.669,+10.992,+33.503,+23.566,+29.214,+26.417,+26.442,+18.621,+25.373,+12.605,+6.366,+15.293,+41.823,+32.421,+35.893,+26.047,+38.434,+17.150,+19.390,+28.707,+17.707,+44.782,+23.883,+20.218,+25.265,+19.202,+9.680,+35.278,+19.150,+15.056,+12.903,+2.297,+43.061,+97.633,+104.498,+96.467,+97.611,+98.602,+99.288,+104.653,+100.743,+99.982,+104.365,+97.169,+99.992,+95.989,+98.025,+99.628,+96.436,+104.779,+97.901,+102.811,+102.149,+102.214,+100.037,+103.436,+99.546,+104.806,+100.979,+97.882,+100.512,+97.409,+96.184,+100.662,+96.035,+101.557,+103.485,+102.621,+104.699,+99.270,+97.612,+96.724,+99.960,+100.820,+95.654,+104.774,+103.822,+95.552,+101.810,+97.731,+98.119
0,7,+21.901,+20.623,+15.067,+26.428,+2.237,+24.586,+22.431,+22.098,+24.380,+13.411,+17.415,+30.978,+27.775,+33.636,+5.234,+15.669,+10.992,+33.503,+23.566,+29.214,+26.417,+26.442,+18.621,+25.373,+12.605,+6.366,+15.293,+41.823,+32.421,+35.893,+26.047,+38.434,+17.150,+19.390,+28.707,+17.707,+44.782,+23.883,+20.218,+25.265,+19.202,+9.680,+35.278,+19.150,+15.056,+12.903,+2.297,+43.061,+98.051,+98.060,+103.574,+101.870,+100.952,+101.019,+101.278,+96.205,+102.302,+104.305,+96.359,+95.275,+104.254,+96.292,+104.973,+95.691,+95.215,+95.406,+102.086,+103.719,+102.050,+95.164,+103.263,+100.685,+99.798,+98.343,+100.179,+102.732,+95.010,+96.531,+100.348,+95.123,+102.769,+96.109,+98.025,+101.622,+98.990,+98.727,+104.003,+103.889,+96.127,+97.131,+103.709,+96.291,+100.370,+97.265,+96.258,+101.651
0,8,+21.901,+20.623,+15.067,+26.428,+2.237,+24.586,+22.431,+22.098,+24.380,+13.411,+17.415,+30.978,+27.775,+33.636,+5.234,+15.669,+10.992,+33.503,+23.566,+29.214,+26.417,+26.442,+18.621,+25.373,+12.605,+6.366,+15.293,+41.823,+32.421,+35.893,+26.047,+38.434,+17.150,+19.390,+28.707,+17.707,+44.782,+23.883,+20.218,+25.265,+19.202,+9.680,+35.278,+19.150,+15.056,+12.903,+2.297,+43.061,+103.881,+97.339,+101.812,+96.978,+103.164,+102.213,+101.256,+99.937,+100.772,+103.917,+98.941,+98.762,+99.190,+101.347,+104.990,+101.557,+96.751,+96.171,+98.099,+99.380,+104.926,+103.917,+96.367,+99.959,+98.152,+98.929,+104.918,+104.768,+97.411,+103.381,+101.132,+95.399,+104.885,+104.099,+97.426,+104.181,+97.647,+98.116,+98.224,+101.465,+104.094,+97.065,+100.312,+99.506,+98.898,+104.596,+103.160,+96.933
0,9,+21.901,+20.623,+15.067,+26.428,+2.237,+24.586,+22.431,+22.098,+24.380,+13.411,+17.415,+30.978,+27.775,+33.636,+5.234,+15.669,+10.992,+33.503,+23.566,+29.214,+26.417,+26.442,+18.621,+25.373,+12.605,+6.366,+15.293,+41.823,+32.421,+35.893,+26.047,+38.434,+17.150,+19.390,+28.707,+17.707,+44.782,+23.883,+20.218,+25.265,+19.202,+9.680,+35.278,+19.150,+15.056,+12.903,+2.297,+43.061,+99.661,+101.228,+104.899,+101.822,+101.800,+96.730,+97.278,+95.405,+95.430,+100.530,+103.041,+102.611,+99.737,+102.768,+95.253,+97.101,+96.960,+95.158,+96.501,+97.246,+99.480,+95.399,+96.800,+104.527,+95.918,+96.940,+99.100,+101.389,+99.704,+95.491,+100.887,+101.974,+95.798,+96.055,+97.407,+100.025,+97.451,+97.136,+97.625,+99.568,+101.439,+101.135,+99.305,+98.538,+95.817,+101.579,+99.960,+98.156
