game,day,buyerGD_0.value,buyerGD_1.value,buyerGD_2.value,buyerGD_3.value,buyerGD_4.value,buyerRE_0.value,buyerRE_1.value,buyerRE_2.value,buyerRE_3.value,buyerRE_4.value,buyerZIC_0.value,buyerZIC_1.value,buyerZIC_2.value,buyerZIC_3.value,buyerZIC_4.value,buyerZIP_0.value,buyerZIP_1.value,buyerZIP_2.value,buyerZIP_3.value,buyerZIP_4.value,sellerGD_0.value,sellerGD_1.value,sellerGD_2.value,sellerGD_3.value,sellerGD_4.value,sellerRE_0.value,sellerRE_1.value,sellerRE_2.value,sellerRE_3.value,sellerRE_4.value,sellerZIC_0.value,sellerZIC_1.value,sellerZIC_2.value,sellerZIC_3.value,sellerZIC_4.value,sellerZIP_0.value,sellerZIP_1.value,sellerZIP_2.value,sellerZIP_3.value,sellerZIP_4.value
0,0,+88.633,+135.253,+69.146,+55.806,+34.734,+103.136,+41.793,+56.523,+50.517,+106.640,+37.816,+19.097,+97.264,+107.678,+78.140,+65.702,+61.869,+6.710,+73.759,+67.294,+95.199,+97.913,+104.322,+103.043,+97.768,+104.802,+97.122,+102.869,+103.350,+96.298,+95.067,+103.905,+99.442,+100.503,+103.962,+96.213,+104.735,+100.590,+104.909,+97.813
0,1,+99.543,+89.151,+60.586,+51.530,+17.569,+114.106,+95.367,+34.904,+40.977,+35.878,+53.866,+66.503,+39.713,+76.714,+65.707,+71.685,+49.823,+59.939,+9.742,+20.172,+99.104,+98.106,+95.371,+100.848,+100.462,+104.365,+104.424,+99.655,+103.289,+96.674,+99.291,+102.542,+103.936,+95.849,+102.983,+96.764,+104.246,+104.131,+100.045,+99.931
0,2,+59.272,+44.684,+1.490,+108.647,+63.116,+67.950,+102.035,+52.646,+32.364,+38.207,+75.485,+99.545,+59.161,+29.486,+34.610,+39.539,+48.612,+81.602,+72.443,+44.274,+102.301,+99.884,+101.041,+100.800,+98.867,+96.995,+103.829,+102.638,+99.059,+97.885,+95.697,+103.379,+101.818,+96.135,+104.397,+104.724,+104.631,+95.536,+100.623,+103.609
0,3,+104.523,+34.974,+39.036,+118.749,+69.655,+55.138,+51.463,+70.545,+94.739,+75.822,+16.484,+37.697,+122.790,+58.727,+13.770,+47.045,+30.358,+42.764,+47.367,+56.121,+103.789,+103.660,+99.481,+100.660,+97.745,+102.487,+98.592,+101.683,+101.888,+101.166,+100.030,+104.533,+98.376,+102.406,+103.331,+97.428,+103.848,+98.941,+100.449,+101.060
0,4,+68.518,+25.009,+81.511,+45.842,+50.030,+101.888,+84.537,+35.801,+29.008,+90.103,+94.724,+76.918,+28.305,+33.399,+62.799,+54.501,+49.750,+117.903,+44.801,+71.211,+96.720,+104.471,+99.705,+99.987,+102.227,+99.430,+97.851,+95.129,+99.333,+101.401,+99.775,+97.501,+101.249,+102.716,+96.493,+100.926,+95.884,+100.402,+99.081,+100.610
0,5,+75.822,+115.482,+42.192,+57.263,+50.374,+10.297,+81.287,+90.390,+41.254,+49.948,+67.836,+55.055,+26.844,+52.306,+42.565,+8.190,+73.841,+52.639,+42.148,+72.128,+100.530,+102.964,+103.048,+102.342,+102.781,+99.427,+104.520,+102.135,+104.746,+100.480,+103.555,+96.901,+103.503,+104.566,+101.996,+100.877,+96.774,+96.250,+96.569,+102.671
0,6,+38.644,+75.325,+78.050,+42.890,+78.025,+36.466,+68.417,+65.156,+35.380,+52.482,+41.614,+72.726,+83.547,+60.398,+82.643,+82.044,+34.387,+58.212,+63.776,+117.965,+100.713,+102.741,+97.948,+97.537,+95.562,+100.882,+99.174,+96.023,+101.437,+102.869,+98.739,+102.598,+103.267,+95.986,+102.889,+97.841,+103.296,+103.347,+101.435,+101.811
0,7,+40.805,+81.900,+16.310,+86.432,+56.877,+82.866,+68.704,+133.504,+31.320,+53.776,+98.457,+84.787,+16.248,+60.064,+64.398,+62.210,+68.899,+28.417,+94.776,+65.761,+96.485,+98.166,+96.599,+97.913,+99.116,+97.721,+103.393,+95.395,+101.654,+102.956,+97.552,+98.534,+97.981,+102.769,+102.953,+98.646,+100.001,+101.095,+104.148,+98.640
0,8,+36.276,+100.491,+68.941,+9.363,+46.189,+84.201,+49.423,+48.418,+29.904,+74.772,+47.076,+108.155,+62.370,+39.068,+64.549,+15.391,+0.915,+58.826,+38.067,+42.718,+99.675,+100.471,+98.161,+104.486,+104.512,+100.416,+99.686,+104.577,+104.936,+100.251,+99.353,+99.005,+100.546,+95.793,+98.550,+99.944,+102.462,+97.402,+95.062,+101.513
0,9,+76.830,+45.920,+67.645,+40.779,+62.362,+74.846,+36.681,+90.612,+13.974,+82.833,+69.096,+71.003,+56.477,+83.611,+22.937,+115.387,+32.354,+51.618,+51.366,+56.149,+100.074,+100.130,+101.696,+99.069,+97.506,+101.038,+97.120,+101.528,+102.793,+102.882,+104.676,+100.122,+101.009,+103.674,+104.762,+103.605,+98.226,+97.863,+95.738,+99.604
