game,day,buyerGD_0.value,buyerGD_1.value,buyerGD_2.value,buyerGD_3.value,buyerGD_4.value,buyerRE_0.value,buyerRE_1.value,buyerRE_2.value,buyerRE_3.value,buyerRE_4.value,buyerZIC_0.value,buyerZIC_1.value,buyerZIC_2.value,buyerZIC_3.value,buyerZIC_4.value,buyerZIP_0.value,buyerZIP_1.value,buyerZIP_2.value,buyerZIP_3.value,buyerZIP_4.value,sellerGD_0.value,sellerGD_1.value,sellerGD_2.value,sellerGD_3.value,sellerGD_4.value,sellerRE_0.value,sellerRE_1.value,sellerRE_2.value,sellerRE_3.value,sellerRE_4.value,sellerZIC_0.value,sellerZIC_1.value,sellerZIC_2.value,sellerZIC_3.value,sellerZIC_4.value,sellerZIP_0.value,sellerZIP_1.value,sellerZIP_2.value,sellerZIP_3.value,sellerZIP_4.value
0,0,+148.633,+195.253,+129.146,+115.806,+94.734,+163.136,+101.793,+116.523,+110.517,+166.640,+97.816,+79.097,+157.264,+167.678,+138.140,+125.702,+121.869,+66.710,+133.759,+127.294,+95.199,+97.913,+104.322,+103.043,+97.768,+104.802,+97.122,+102.869,+103.350,+96.298,+95.067,+103.905,+99.442,+100.503,+103.962,+96.213,+104.735,+100.590,+104.909,+97.813
0,1,+138.337,+90.959,+117.580,+123.260,+153.138,+135.315,+132.652,+103.607,+135.515,+125.809,+109.804,+123.589,+87.752,+123.370,+138.228,+99.247,+111.974,+96.728,+128.719,+103.569,+96.250,+104.032,+95.988,+104.292,+103.259,+101.471,+96.156,+95.367,+103.427,+96.626,+103.297,+98.894,+95.799,+100.057,+100.882,+102.179,+103.324,+99.229,+95.552,+104.732
0,2,+140.217,+101.580,+117.721,+131.671,+124.487,+134.232,+113.482,+124.668,+128.455,+94.207,+104.788,+107.649,+127.436,+108.441,+98.804,+137.936,+131.980,+115.384,+134.235,+117.521,+101.656,+99.487,+95.232,+101.956,+101.978,+95.946,+103.615,+103.616,+98.579,+102.057,+96.750,+95.742,+104.210,+102.387,+98.542,+101.758,+103.032,+102.537,+100.060,+101.220
0,3,+112.226,+108.149,+122.169,+127.277,+122.967,+110.676,+115.339,+109.294,+116.269,+101.741,+98.200,+118.327,+125.628,+124.435,+129.967,+91.552,+121.869,+104.913,+140.635,+125.979,+99.116,+100.001,+102.956,+104.877,+96.485,+100.033,+101.310,+98.227,+103.878,+95.395,+102.953,+102.900,+98.724,+100.957,+101.475,+100.924,+96.469,+96.652,+95.515,+103.393
0,4,+104.514,+104.631,+119.276,+120.553,+109.983,+102.082,+120.846,+108.098,+121.943,+135.562,+130.135,+145.757,+125.790,+99.280,+116.881,+108.958,+107.668,+105.478,+123.787,+132.991,+98.695,+95.080,+95.084,+100.723,+99.371,+96.448,+100.344,+104.386,+95.601,+99.009,+96.507,+99.913,+104.004,+104.099,+103.840,+95.049,+95.452,+98.125,+103.376,+104.717
0,5,+111.538,+104.898,+113.386,+133.018,+109.090,+125.187,+115.722,+122.991,+130.970,+116.418,+106.219,+140.550,+123.827,+113.733,+111.458,+110.043,+114.469,+113.973,+102.660,+113.347,+96.632,+103.582,+102.964,+103.073,+96.501,+103.865,+96.614,+98.315,+98.360,+102.056,+104.957,+100.710,+104.835,+100.242,+104.019,+96.195,+95.628,+101.569,+98.607,+98.169
0,6,+118.599,+109.614,+134.758,+121.433,+114.192,+108.923,+120.873,+107.349,+105.989,+124.755,+112.445,+121.885,+131.412,+107.935,+120.608,+111.658,+109.791,+119.035,+102.879,+115.256,+95.763,+102.195,+103.961,+97.002,+101.419,+100.901,+99.634,+100.829,+101.371,+96.388,+98.971,+104.070,+100.117,+102.963,+99.465,+100.056,+102.013,+101.789,+95.194,+98.201
0,7,+117.920,+114.975,+105.594,+121.560,+104.049,+107.683,+118.306,+111.424,+108.383,+118.124,+122.349,+107.263,+106.807,+125.651,+106.420,+106.344,+121.695,+103.967,+138.961,+130.570,+102.185,+103.361,+98.908,+103.032,+101.602,+101.702,+104.041,+104.569,+100.224,+98.073,+103.469,+99.262,+98.498,+101.588,+97.771,+96.647,+99.538,+101.239,+103.173,+97.388
0,8,+113.816,+117.412,+124.840,+135.661,+107.924,+111.746,+93.739,+112.394,+98.470,+106.201,+120.708,+128.637,+107.723,+105.109,+110.163,+105.180,+118.421,+125.899,+117.658,+115.213,+98.749,+102.349,+95.832,+102.105,+104.542,+103.526,+98.133,+100.558,+101.688,+101.052,+104.003,+95.009,+103.042,+104.346,+103.544,+96.567,+104.341,+100.314,+103.675,+99.185
0,9,+106.138,+102.891,+121.309,+119.269,+102.962,+112.949,+118.136,+108.987,+113.408,+113.288,+122.488,+90.200,+106.851,+108.401,+120.037,+106.042,+104.228,+108.676,+124.389,+118.471,+102.454,+104.170,+100.014,+104.015,+98.178,+104.163,+102.825,+96.737,+98.132,+97.803,+99.504,+104.054,+97.104,+100.124,+95.675,+103.070,+103.216,+104.391,+101.841,+104.931
