game,day,buyerGD_0.value,buyerGD_1.value,buyerGD_2.value,buyerGD_3.value,buyerGD_4.value,buyerRE_0.value,buyerRE_1.value,buyerRE_2.value,buyerRE_3.value,buyerRE_4.value,buyerZIC_0.value,buyerZIC_1.value,buyerZIC_2.value,buyerZIC_3.value,buyerZIC_4.value,buyerZIP_0.value,buyerZIP_1.value,buyerZIP_2.value,buyerZIP_3.value,buyerZIP_4.value,sellerGD_0.value,sellerGD_1.value,sellerGD_2.value,sellerGD_3.value,sellerGD_4.value,sellerRE_0.value,sellerRE_1.value,sellerRE_2.value,sellerRE_3.value,sellerRE_4.value,sellerZIC_0.value,sellerZIC_1.value,sellerZIC_2.value,sellerZIC_3.value,sellerZIC_4.value,sellerZIP_0.value,sellerZIP_1.value,sellerZIP_2.value,sellerZIP_3.value,sellerZIP_4.value
0,0,+72.449,+57.609,+43.329,+1.703,+117.428,+53.155,+101.170,+54.143,+82.710,+7.340,+12.809,+24.675,+52.158,+21.307,+85.912,+84.250,+66.372,+103.152,+142.572,+121.820,+100.297,+98.039,+104.741,+95.026,+97.986,+102.372,+101.318,+97.742,+104.891,+103.734,+96.897,+96.739,+96.122,+100.887,+98.955,+101.952,+96.883,+96.637,+103.343,+98.823
0,1,+124.116,+26.494,+123.173,+3.828,+91.110,+87.366,+30.800,+48.079,+37.869,+162.271,+124.352,+55.011,+5.982,+50.922,+61.940,+32.877,+98.030,+127.089,+70.800,+104.461,+101.706,+102.058,+101.553,+100.403,+95.001,+103.168,+99.789,+102.823,+95.652,+102.712,+98.197,+103.099,+96.101,+101.521,+100.334,+95.042,+102.748,+96.077,+104.097,+96.036
0,2,+162.659,+117.794,+151.036,+89.601,+16.510,+82.070,+42.007,+132.638,+43.575,+39.063,+0.216,+0.161,+214.471,+101.122,+40.950,+51.783,+106.481,+7.696,+175.731,+190.522,+104.739,+96.748,+96.901,+98.133,+104.583,+103.720,+95.724,+95.168,+104.078,+99.063,+97.294,+98.096,+103.526,+97.147,+96.234,+97.463,+95.020,+98.661,+101.931,+101.673
0,3,+78.682,+17.780,+144.801,+96.685,+193.786,+25.677,+22.468,+7.606,+186.550,+49.740,+90.782,+33.272,+20.194,+74.034,+100.469,+44.242,+23.886,+15.579,+13.258,+87.159,+99.665,+100.876,+96.306,+96.630,+104.866,+104.821,+100.552,+103.085,+101.920,+98.609,+98.900,+95.581,+102.235,+98.908,+100.357,+100.645,+104.856,+104.233,+95.817,+95.046
0,4,+3.349,+149.809,+52.733,+75.808,+22.983,+38.428,+71.325,+128.152,+141.176,+59.214,+121.826,+97.910,+60.685,+44.292,+80.479,+52.534,+179.476,+17.632,+113.424,+108.774,+104.446,+96.196,+103.616,+103.331,+104.231,+101.725,+96.223,+98.372,+103.096,+104.483,+102.819,+98.926,+97.706,+104.400,+100.314,+103.543,+100.953,+98.686,+97.961,+96.564
0,5,+13.494,+29.441,+48.896,+92.024,+106.356,+93.215,+11.462,+43.029,+52.261,+27.429,+28.765,+135.048,+28.734,+95.928,+24.836,+79.552,+46.835,+11.322,+108.172,+40.584,+104.912,+101.317,+104.000,+97.412,+97.216,+103.869,+100.239,+95.301,+99.668,+100.281,+97.282,+101.340,+96.135,+98.901,+102.436,+101.918,+101.324,+96.172,+102.523,+95.005
0,6,+95.968,+17.867,+116.982,+156.993,+50.496,+70.767,+6.023,+91.782,+177.569,+67.566,+19.865,+16.286,+30.917,+16.423,+139.492,+79.737,+122.234,+87.179,+99.055,+101.720,+104.065,+99.488,+100.041,+98.917,+100.215,+100.826,+99.707,+96.968,+95.362,+95.479,+96.282,+104.962,+100.826,+97.718,+104.830,+98.162,+101.123,+97.946,+104.020,+97.563
0,7,+111.807,+99.637,+106.262,+84.676,+61.231,+98.175,+130.330,+110.744,+67.977,+128.791,+53.520,+81.408,+10.545,+155.822,+53.899,+134.334,+125.953,+130.473,+2.802,+46.057,+96.203,+104.429,+100.320,+95.842,+95.861,+97.843,+102.697,+101.345,+97.580,+103.357,+99.417,+95.371,+97.456,+103.088,+102.302,+98.563,+95.049,+99.923,+98.822,+103.809
0,8,+58.062,+95.995,+133.303,+9.673,+128.581,+3.902,+4.722,+41.302,+165.600,+142.224,+102.763,+52.817,+3.761,+238.192,+96.793,+102.725,+33.123,+102.680,+106.103,+122.456,+96.615,+97.293,+96.905,+100.145,+96.382,+98.202,+96.666,+99.544,+98.358,+103.219,+95.752,+97.131,+102.146,+98.749,+97.307,+98.745,+100.427,+97.280,+95.941,+95.323
0,9,+30.369,+84.107,+94.594,+76.958,+132.104,+94.470,+149.956,+48.132,+34.425,+4.349,+98.855,+163.472,+99.702,+116.244,+63.983,+13.093,+47.296,+114.873,+95.263,+67.539,+97.161,+100.871,+99.333,+99.893,+98.257,+101.037,+101.425,+98.609,+95.123,+99.549,+97.154,+95.950,+102.542,+99.512,+98.428,+98.008,+103.372,+95.514,+99.640,+101.614
0,10,+83.678,+88.753,+93.436,+57.417,+83.994,+11.782,+23.794,+2.667,+106.550,+142.300,+14.366,+79.161,+44.256,+55.131,+78.617,+144.694,+75.821,+4.101,+102.865,+35.795,+102.591,+101.038,+98.999,+100.973,+101.560,+97.801,+98.879,+104.514,+97.611,+97.695,+101.163,+95.588,+95.989,+98.683,+98.182,+96.641,+95.537,+104.726,+99.045,+95.039
0,11,+115.274,+119.782,+48.730,+10.572,+181.957,+174.435,+154.160,+15.498,+73.649,+47.697,+77.389,+31.042,+119.747,+82.342,+73.757,+16.581,+54.076,+190.160,+217.875,+115.925,+99.806,+102.910,+102.270,+96.499,+95.216,+98.231,+101.255,+100.619,+103.807,+95.653,+102.363,+103.769,+101.169,+99.779,+98.612,+100.461,+104.166,+102.568,+95.170,+100.030
0,12,+130.802,+95.738,+35.832,+49.324,+86.127,+155.731,+92.220,+110.239,+52.599,+66.688,+153.704,+65.256,+70.896,+31.061,+105.726,+76.044,+9.550,+94.989,+43.486,+93.403,+102.425,+96.642,+98.102,+95.892,+102.933,+103.352,+95.158,+104.833,+97.343,+103.979,+99.003,+101.975,+98.485,+97.568,+104.933,+101.390,+98.178,+100.600,+102.798,+100.495
0,13,+80.990,+67.421,+13.639,+60.560,+150.403,+89.477,+52.652,+159.061,+56.671,+93.935,+147.271,+40.659,+165.107,+48.831,+51.978,+37.625,+154.496,+176.906,+104.598,+9.902,+102.857,+104.742,+101.082,+100.746,+97.229,+95.518,+104.630,+99.490,+101.299,+101.014,+102.043,+103.800,+97.296,+99.116,+98.999,+98.375,+104.828,+103.971,+102.537,+100.707
0,14,+129.357,+58.440,+59.931,+183.987,+51.165,+84.352,+129.801,+47.545,+116.931,+150.831,+111.873,+121.878,+44.780,+127.847,+42.044,+121.776,+130.739,+41.082,+117.261,+76.800,+104.059,+95.699,+100.504,+103.794,+104.507,+98.778,+103.636,+101.789,+103.011,+97.696,+97.991,+96.310,+102.896,+101.455,+103.436,+96.832,+96.793,+99.085,+102.271,+103.417
0,15,+71.263,+130.856,+44.789,+41.206,+57.637,+41.220,+72.654,+46.209,+32.247,+142.298,+12.669,+123.809,+46.369,+160.057,+126.211,+177.279,+66.798,+90.459,+57.861,+133.619,+101.534,+98.009,+95.022,+97.341,+97.986,+97.463,+100.107,+102.591,+98.083,+98.766,+103.811,+102.118,+99.152,+102.892,+99.227,+104.612,+99.532,+98.464,+102.234,+104.764
0,16,+38.953,+33.793,+50.644,+121.834,+5.417,+65.603,+192.650,+168.700,+45.079,+130.949,+21.843,+136.490,+106.843,+100.050,+91.237,+171.804,+174.332,+67.276,+96.494,+89.678,+99.981,+99.729,+103.201,+98.061,+100.602,+103.719,+96.877,+99.922,+99.701,+95.254,+104.087,+102.689,+97.626,+98.882,+98.872,+104.068,+98.108,+97.275,+99.452,+99.895
0,17,+184.954,+56.657,+75.631,+91.018,+55.722,+74.494,+25.833,+160.291,+51.836,+66.640,+78.607,+114.555,+37.083,+77.314,+40.727,+135.357,+181.924,+116.621,+129.560,+94.950,+96.912,+103.640,+104.244,+99.808,+102.899,+101.889,+99.105,+102.904,+104.758,+100.220,+95.881,+101.608,+96.453,+104.636,+104.069,+102.116,+104.806,+98.281,+97.845,+95.240
0,18,+76.559,+104.304,+86.640,+63.168,+94.141,+147.907,+39.649,+24.788,+97.305,+10.096,+132.815,+69.370,+132.467,+75.768,+61.698,+189.268,+2.363,+100.102,+116.977,+73.218,+96.265,+99.417,+96.755,+104.093,+97.735,+103.870,+95.643,+102.398,+103.017,+95.677,+99.844,+96.307,+103.814,+102.308,+95.968,+96.944,+104.264,+97.091,+97.668,+103.135
0,19,+31.066,+108.244,+14.891,+17.188,+92.850,+22.538,+182.190,+85.099,+177.272,+66.827,+67.257,+39.423,+153.118,+68.632,+119.119,+82.452,+37.844,+68.424,+56.166,+128.969,+95.760,+95.500,+95.400,+97.462,+98.585,+101.099,+104.899,+104.811,+102.312,+100.892,+103.903,+100.737,+99.221,+101.696,+96.555,+104.985,+96.688,+101.937,+99.507,+102.829
0,20,+108.790,+79.637,+137.079,+54.808,+73.039,+122.408,+88.332,+44.209,+60.226,+128.729,+134.819,+101.916,+65.788,+176.188,+48.469,+44.323,+5.289,+41.286,+101.213,+44.099,+101.484,+100.292,+96.255,+95.825,+103.172,+102.571,+97.369,+96.381,+96.335,+102.699,+97.262,+99.582,+102.447,+98.895,+96.039,+95.800,+95.511,+104.622,+97.837,+99.482
0,21,+126.654,+14.962,+158.802,+99.513,+36.353,+123.576,+152.601,+5.046,+70.216,+101.941,+78.595,+59.832,+76.403,+92.724,+210.948,+62.320,+173.266,+42.160,+90.435,+126.818,+96.420,+98.219,+101.736,+97.298,+95.481,+104.903,+103.473,+104.028,+101.878,+100.304,+96.125,+97.398,+104.082,+98.899,+99.201,+104.759,+99.232,+101.230,+103.015,+99.440
0,22,+7.342,+112.983,+30.123,+68.266,+58.052,+83.585,+194.941,+50.560,+6.478,+109.226,+93.452,+130.139,+133.998,+105.331,+104.353,+50.572,+130.579,+133.588,+62.594,+98.053,+97.105,+99.275,+100.517,+99.450,+97.442,+96.816,+97.725,+96.618,+101.998,+95.863,+98.372,+103.700,+104.613,+101.362,+102.278,+96.047,+102.878,+97.749,+97.124,+101.198
0,23,+122.326,+116.124,+86.776,+39.576,+115.165,+29.952,+160.757,+84.695,+209.063,+15.084,+161.172,+98.209,+85.278,+17.362,+166.856,+95.780,+99.977,+10.436,+61.013,+43.088,+97.670,+103.628,+102.716,+104.051,+101.466,+104.635,+97.222,+95.948,+103.278,+100.056,+103.251,+104.416,+103.539,+100.212,+97.121,+102.224,+103.652,+95.855,+102.597,+96.702
0,24,+168.363,+148.812,+68.217,+37.502,+51.537,+96.056,+49.000,+100.394,+28.952,+69.429,+142.602,+95.357,+138.814,+47.966,+32.819,+85.213,+75.000,+39.437,+85.266,+148.772,+97.762,+98.070,+97.673,+104.003,+101.485,+100.660,+98.817,+97.292,+95.950,+100.860,+100.992,+103.195,+97.747,+102.577,+103.031,+104.054,+100.241,+96.240,+100.642,+98.701
