game,day,buyerGD_0.value,buyerGD_1.value,buyerGD_2.value,buyerGD_3.value,buyerGD_4.value,buyerRE_0.value,buyerRE_1.value,buyerRE_2.value,buyerRE_3.value,buyerRE_4.value,buyerZIC_0.value,buyerZIC_1.value,buyerZIC_2.value,buyerZIC_3.value,buyerZIC_4.value,buyerZIP_0.value,buyerZIP_1.value,buyerZIP_2.value,buyerZIP_3.value,buyerZIP_4.value,sellerGD_0.value,sellerGD_1.value,sellerGD_2.value,sellerGD_3.value,sellerGD_4.value,sellerRE_0.value,sellerRE_1.value,sellerRE_2.value,sellerRE_3.value,sellerRE_4.value,sellerZIC_0.value,sellerZIC_1.value,sellerZIC_2.value,sellerZIC_3.value,sellerZIC_4.value,sellerZIP_0.value,sellerZIP_1.value,sellerZIP_2.value,sellerZIP_3.value,sellerZIP_4.value
0,0,+107.469,+98.566,+89.998,+65.022,+134.457,+95.893,+124.702,+96.486,+113.626,+68.404,+71.686,+78.805,+55.517,+76.784,+115.547,+114.550,+103.823,+125.891,+149.543,+137.092,+100.297,+98.039,+104.741,+95.026,+97.986,+102.372,+101.318,+97.742,+104.891,+103.734,+96.897,+96.739,+96.122,+100.887,+98.955,+101.952,+96.883,+96.637,+103.343,+98.823
0,1,+113.068,+109.230,+129.905,+118.456,+92.514,+103.001,+80.584,+112.633,+91.575,+115.050,+94.141,+128.958,+70.823,+80.664,+120.758,+91.688,+144.332,+90.049,+73.795,+115.627,+97.935,+97.398,+95.755,+97.441,+104.326,+96.962,+103.268,+101.978,+104.982,+104.103,+101.703,+99.081,+96.443,+104.515,+99.486,+102.022,+102.047,+100.227,+97.443,+96.539
0,2,+72.568,+108.686,+131.400,+82.928,+81.377,+74.510,+127.476,+98.374,+139.275,+69.144,+82.526,+106.810,+110.437,+111.625,+83.413,+77.950,+97.442,+108.426,+120.472,+86.025,+101.055,+99.329,+98.291,+104.232,+100.566,+104.096,+99.165,+96.108,+102.925,+95.646,+100.866,+101.283,+98.421,+98.823,+100.367,+95.488,+101.245,+99.046,+95.503,+99.545
0,3,+85.724,+109.617,+58.100,+133.215,+100.315,+82.831,+104.279,+115.793,+83.537,+130.172,+78.181,+67.176,+128.380,+37.079,+93.998,+68.686,+105.257,+82.510,+97.029,+104.614,+103.635,+97.068,+96.853,+99.668,+101.512,+96.478,+104.459,+103.139,+95.807,+100.106,+97.767,+104.191,+104.888,+103.585,+100.783,+104.765,+99.345,+100.938,+103.061,+103.855
0,4,+118.906,+113.891,+51.688,+105.631,+102.941,+127.584,+141.118,+147.253,+146.731,+99.147,+145.683,+43.637,+86.768,+115.112,+142.521,+126.995,+85.436,+80.181,+93.152,+94.979,+102.871,+96.292,+97.809,+101.518,+96.958,+100.260,+96.321,+100.644,+96.584,+104.268,+101.251,+103.094,+103.290,+103.941,+103.114,+98.627,+103.032,+101.065,+97.562,+99.721
0,5,+126.753,+148.144,+105.316,+79.391,+123.131,+110.126,+104.017,+90.449,+86.175,+141.577,+145.123,+95.800,+123.667,+123.981,+139.751,+146.050,+107.137,+132.516,+70.379,+89.251,+97.805,+102.820,+98.224,+98.478,+96.801,+98.302,+100.640,+98.381,+102.416,+95.911,+104.035,+101.569,+97.177,+100.962,+98.395,+99.298,+101.240,+100.733,+103.415,+96.587
0,6,+73.182,+97.059,+138.108,+143.970,+92.872,+116.094,+79.346,+75.152,+98.279,+87.085,+134.450,+113.235,+93.958,+122.641,+99.392,+105.237,+135.286,+83.899,+78.986,+99.996,+102.804,+103.594,+102.151,+97.955,+97.999,+101.729,+98.066,+104.023,+97.379,+100.148,+100.491,+102.875,+104.631,+99.585,+95.362,+95.644,+100.244,+99.946,+97.294,+99.166
0,7,+91.954,+97.701,+132.453,+101.747,+124.390,+104.494,+104.414,+108.345,+135.537,+68.096,+110.032,+94.004,+61.164,+108.475,+41.747,+120.148,+93.847,+121.064,+91.517,+93.435,+103.253,+101.081,+95.330,+100.569,+98.269,+96.060,+100.442,+98.442,+95.440,+104.936,+95.852,+95.356,+96.212,+101.329,+96.952,+96.458,+95.905,+97.578,+102.973,+100.244
0,8,+123.397,+85.796,+127.310,+130.329,+76.739,+103.410,+84.003,+128.175,+101.266,+79.289,+80.209,+85.450,+96.323,+102.112,+117.168,+91.083,+129.178,+84.129,+89.658,+116.990,+103.171,+103.466,+103.385,+100.299,+100.298,+103.162,+103.501,+98.751,+100.538,+98.458,+97.628,+104.532,+97.028,+97.467,+103.105,+102.918,+102.500,+101.633,+97.921,+100.267
0,9,+126.960,+116.282,+65.066,+89.073,+110.337,+101.664,+87.789,+87.893,+115.185,+118.286,+106.459,+138.515,+103.492,+131.581,+82.318,+93.804,+128.060,+100.886,+149.466,+122.754,+95.845,+99.574,+99.160,+101.162,+104.041,+103.624,+103.850,+102.504,+103.270,+104.036,+102.490,+100.800,+102.029,+95.570,+99.921,+97.337,+97.200,+102.295,+103.884,+99.406
