game,day,buyerGD_0.value,buyerGD_1.value,buyerGD_2.value,buyerGD_3.value,buyerGD_4.value,buyerRE_0.value,buyerRE_1.value,buyerRE_2.value,buyerRE_3.value,buyerRE_4.value,buyerZIC_0.value,buyerZIC_1.value,buyerZIC_2.value,buyerZIC_3.value,buyerZIC_4.value,buyerZIP_0.value,buyerZIP_1.value,buyerZIP_2.value,buyerZIP_3.value,buyerZIP_4.value,sellerGD_0.value,sellerGD_1.value,sellerGD_2.value,sellerGD_3.value,sellerGD_4.value,sellerRE_0.value,sellerRE_1.value,sellerRE_2.value,sellerRE_3.value,sellerRE_4.value,sellerZIC_0.value,sellerZIC_1.value,sellerZIC_2.value,sellerZIC_3.value,sellerZIC_4.value,sellerZIP_0.value,sellerZIP_1.value,sellerZIP_2.value,sellerZIP_3.value,sellerZIP_4.value
0,0,+132.449,+117.609,+103.329,+61.703,+177.428,+113.155,+161.170,+114.143,+142.710,+67.340,+72.809,+84.675,+45.862,+81.307,+145.912,+144.250,+126.372,+163.152,+202.572,+181.820,+100.297,+98.039,+104.741,+95.026,+97.986,+102.372,+101.318,+97.742,+104.891,+103.734,+96.897,+96.739,+96.122,+100.887,+98.955,+101.952,+96.883,+96.637,+103.343,+98.823
0,1,+121.866,+111.513,+123.189,+134.696,+126.410,+106.522,+132.800,+107.067,+115.419,+110.111,+117.005,+121.001,+165.248,+129.220,+118.424,+127.631,+112.776,+122.613,+123.162,+128.992,+103.015,+100.787,+100.934,+100.861,+96.089,+104.796,+100.963,+101.779,+100.217,+97.168,+98.945,+102.158,+102.651,+99.303,+101.865,+97.071,+101.034,+101.241,+96.296,+101.642
0,2,+113.993,+114.401,+128.283,+136.318,+144.336,+117.849,+125.558,+102.681,+121.361,+114.436,+107.412,+128.977,+126.000,+114.819,+140.912,+111.698,+115.276,+129.023,+101.862,+102.239,+96.397,+98.073,+95.176,+95.503,+100.407,+98.035,+103.631,+102.283,+98.982,+104.559,+95.907,+100.417,+103.280,+95.659,+100.645,+100.298,+95.665,+100.144,+104.438,+100.947
0,3,+118.818,+111.466,+104.885,+124.219,+115.413,+129.746,+107.368,+120.754,+111.907,+131.577,+111.138,+115.107,+108.062,+117.419,+111.721,+126.991,+115.991,+124.362,+109.009,+122.625,+102.745,+104.643,+95.673,+99.959,+96.241,+102.263,+101.595,+102.122,+103.773,+100.694,+102.330,+99.199,+102.070,+100.561,+100.981,+99.287,+96.354,+104.651,+104.816,+98.608
0,4,+112.706,+118.312,+111.481,+116.508,+123.094,+105.959,+136.647,+132.718,+123.904,+109.066,+138.241,+135.763,+115.207,+101.920,+120.483,+121.868,+105.991,+101.306,+121.217,+112.242,+95.938,+98.519,+97.376,+101.870,+96.788,+98.511,+99.801,+102.857,+101.277,+98.894,+102.523,+104.671,+96.045,+98.494,+103.209,+97.216,+100.793,+99.668,+104.863,+101.324
0,5,+122.899,+106.614,+118.671,+120.878,+112.857,+121.235,+130.222,+94.776,+115.697,+102.595,+122.975,+110.631,+107.950,+114.828,+113.601,+105.549,+110.568,+99.454,+109.721,+137.957,+102.271,+97.263,+99.574,+102.175,+100.445,+103.759,+100.725,+104.446,+102.217,+104.813,+99.294,+95.233,+97.703,+97.491,+101.844,+101.436,+100.480,+101.904,+99.264,+104.560
0,6,+98.161,+109.632,+109.971,+122.684,+92.628,+109.030,+121.264,+113.318,+120.900,+118.176,+111.137,+95.179,+112.820,+105.352,+106.041,+111.545,+111.409,+97.993,+129.791,+101.402,+101.759,+104.005,+99.017,+102.543,+103.089,+101.249,+96.225,+96.040,+104.889,+96.462,+96.684,+95.650,+102.120,+99.338,+95.305,+102.578,+98.368,+97.014,+102.937,+103.934
0,7,+109.962,+107.317,+115.857,+117.450,+103.652,+109.262,+121.710,+107.206,+112.416,+120.916,+116.429,+109.391,+110.527,+133.552,+109.133,+112.967,+108.259,+123.596,+121.189,+115.748,+98.169,+104.020,+99.636,+102.383,+102.917,+95.346,+96.183,+100.429,+96.301,+95.618,+101.786,+100.476,+104.527,+95.802,+98.327,+100.777,+103.348,+104.091,+103.464,+103.202
0,8,+112.915,+109.152,+120.427,+119.556,+103.458,+100.937,+113.698,+124.692,+119.439,+119.347,+116.982,+121.793,+94.787,+110.920,+114.629,+125.368,+113.904,+123.194,+123.568,+111.604,+102.437,+97.699,+101.133,+102.145,+100.069,+98.584,+96.270,+97.088,+99.320,+103.927,+103.571,+96.393,+102.388,+103.750,+99.333,+98.252,+99.558,+102.606,+100.226,+99.926
0,9,+117.975,+122.460,+123.934,+113.878,+102.241,+112.421,+108.398,+109.589,+110.957,+111.506,+103.665,+114.655,+104.387,+105.718,+116.258,+100.314,+113.018,+104.836,+103.771,+114.817,+101.062,+103.783,+102.012,+100.625,+100.211,+102.793,+97.153,+101.649,+101.218,+100.150,+95.522,+103.092,+97.417,+99.511,+103.723,+101.766,+102.838,+97.178,+97.464,+102.114
0,10,+122.569,+109.867,+96.465,+117.465,+112.532,+113.033,+106.944,+121.116,+107.667,+98.748,+117.007,+107.919,+94.628,+117.980,+114.806,+117.509,+107.550,+117.274,+107.158,+101.584,+104.836,+99.524,+101.751,+100.392,+104.798,+102.339,+103.959,+101.934,+103.973,+102.530,+95.606,+104.084,+104.730,+98.636,+101.795,+97.475,+96.434,+100.676,+101.414,+99.914
