game,day,CDA.ask.accepted.quantity,CDA.bid.accepted.quantity,CH.ask.accepted.quantity,CH.bid.accepted.quantity,CDA.ask.accepted.price.min,CDA.bid.accepted.price.min,CH.ask.accepted.price.min,CH.bid.accepted.price.min,CDA.ask.accepted.price.max,CDA.bid.accepted.price.max,CH.ask.accepted.price.max,CH.bid.accepted.price.max,CDA.ask.accepted.price.mean,CDA.bid.accepted.price.mean,CH.ask.accepted.price.mean,CH.bid.accepted.price.mean,CDA.ask.accepted.price.stdev,CDA.bid.accepted.price.stdev,CH.ask.accepted.price.stdev,CH.bid.accepted.price.stdev,CDA.transaction.quantity,CH.transaction.quantity,CDA.transaction.price.min,CH.transaction.price.min,CDA.transaction.price.max,CH.transaction.price.max,CDA.transaction.price.mean,CH.transaction.price.mean,CDA.transaction.price.stdev,CH.transaction.price.stdev
0,0,+20.000,+20.000,+13.000,+13.000,+96.905,+104.436,+100.445,+106.629,+124.829,+134.132,+115.800,+132.626,+113.284,+118.902,+107.235,+117.853,+7.387,+6.975,+5.395,+9.613,+20.000,+13.000,+100.670,+103.710,+125.429,+116.055,+116.093,+109.913,+6.608,+4.764
0,1,+21.000,+21.000,+15.000,+15.000,+97.295,+99.181,+100.699,+106.629,+115.004,+128.302,+122.196,+128.063,+107.765,+112.277,+107.020,+116.916,+4.827,+6.745,+5.885,+5.636,+21.000,+15.000,+98.238,+106.141,+120.490,+127.489,+110.021,+112.427,+5.373,+5.544
0,2,+17.000,+17.000,+15.000,+15.000,+98.434,+106.855,+97.922,+106.629,+109.307,+112.565,+111.953,+152.627,+106.822,+109.224,+106.310,+119.499,+2.927,+1.414,+4.010,+12.851,+17.000,+15.000,+104.255,+103.578,+109.844,+116.504,+108.023,+110.276,+1.662,+3.324
0,3,+22.000,+22.000,+23.000,+23.000,+96.603,+101.521,+98.230,+107.288,+111.716,+122.196,+110.354,+146.486,+104.462,+108.307,+104.183,+125.012,+2.691,+6.093,+3.388,+14.415,+22.000,+23.000,+99.569,+106.235,+116.956,+123.698,+106.385,+108.749,+4.031,+3.508
0,4,+21.000,+21.000,+15.000,+15.000,+96.239,+99.495,+100.211,+109.393,+127.736,+140.099,+110.986,+130.555,+105.192,+112.191,+105.021,+117.159,+6.817,+10.950,+3.160,+8.605,+21.000,+15.000,+98.159,+104.391,+132.983,+119.974,+108.692,+110.503,+8.307,+3.215
0,5,+13.000,+13.000,+17.000,+17.000,+96.170,+97.735,+99.030,+109.643,+109.393,+122.139,+116.827,+121.229,+104.233,+111.550,+106.861,+113.554,+5.254,+7.854,+3.845,+3.168,+13.000,+17.000,+97.326,+106.828,+115.766,+119.028,+107.892,+109.846,+5.799,+2.466
0,6,+20.000,+20.000,+19.000,+19.000,+97.091,+97.094,+98.042,+110.285,+142.187,+162.335,+112.798,+149.770,+106.087,+118.610,+104.760,+121.986,+10.215,+19.497,+4.145,+12.594,+20.000,+19.000,+97.092,+110.090,+142.392,+113.556,+112.348,+112.512,+12.812,+1.159
0,7,+23.000,+23.000,+12.000,+12.000,+97.420,+98.726,+101.446,+108.595,+112.798,+137.694,+112.083,+140.985,+101.560,+108.322,+104.561,+120.491,+4.307,+10.582,+2.800,+12.181,+23.000,+12.000,+98.713,+105.447,+123.380,+118.034,+104.941,+109.322,+6.860,+3.258
0,8,+19.000,+19.000,+17.000,+17.000,+97.798,+99.559,+100.970,+106.215,+102.095,+118.633,+108.843,+137.249,+100.190,+104.611,+104.334,+116.304,+1.414,+5.625,+2.008,+11.085,+19.000,+17.000,+98.678,+104.694,+110.364,+112.029,+102.401,+107.056,+3.353,+2.005
0,9,+25.000,+25.000,+14.000,+14.000,+98.125,+100.847,+100.368,+101.714,+114.697,+160.488,+106.211,+133.145,+102.559,+110.825,+102.042,+116.020,+3.972,+12.493,+1.373,+12.971,+25.000,+14.000,+99.786,+101.467,+129.306,+110.005,+106.692,+104.145,+7.009,+3.153
0,10,+19.000,+19.000,+14.000,+14.000,+96.483,+97.948,+100.041,+103.961,+106.528,+124.173,+103.397,+135.239,+101.769,+107.516,+102.415,+109.747,+3.187,+6.743,+0.802,+9.002,+19.000,+14.000,+97.215,+102.725,+113.144,+103.961,+104.643,+103.645,+4.565,+0.439
0,11,+18.000,+18.000,+20.000,+20.000,+95.505,+102.373,+99.977,+103.025,+106.344,+145.786,+106.492,+134.333,+101.583,+110.448,+103.285,+112.297,+3.085,+11.184,+1.699,+10.013,+18.000,+20.000,+98.939,+102.326,+123.239,+109.368,+106.015,+105.571,+6.300,+1.692
0,12,+16.000,+16.000,+16.000,+16.000,+99.890,+100.954,+95.375,+102.792,+104.163,+110.294,+108.891,+126.086,+102.145,+104.407,+102.063,+115.223,+1.307,+2.180,+4.166,+7.776,+16.000,+16.000,+100.749,+101.198,+105.092,+111.601,+103.276,+106.492,+1.343,+3.538
