game,day,CDA.ask.accepted.quantity,CDA.bid.accepted.quantity,CH.ask.accepted.quantity,CH.bid.accepted.quantity,CDA.ask.accepted.price.min,CDA.bid.accepted.price.min,CH.ask.accepted.price.min,CH.bid.accepted.price.min,CDA.ask.accepted.price.max,CDA.bid.accepted.price.max,CH.ask.accepted.price.max,CH.bid.accepted.price.max,CDA.ask.accepted.price.mean,CDA.bid.accepted.price.mean,CH.ask.accepted.price.mean,CH.bid.accepted.price.mean,CDA.ask.accepted.price.stdev,CDA.bid.accepted.price.stdev,CH.ask.accepted.price.stdev,CH.bid.accepted.price.stdev,CDA.transaction.quantity,CH.transaction.quantity,CDA.transaction.price.min,CH.transaction.price.min,CDA.transaction.price.max,CH.transaction.price.max,CDA.transaction.price.mean,CH.transaction.price.mean,CDA.transaction.price.stdev,CH.transaction.price.stdev
0,0,+10.000,+10.000,+6.000,+6.000,+98.109,+102.336,+105.746,+111.528,+110.538,+117.143,+111.528,+114.809,+105.006,+108.230,+109.050,+113.942,+4.022,+5.103,+2.005,+1.117,+10.000,+6.000,+101.613,+108.820,+113.841,+111.528,+106.618,+110.140,+4.353,+1.107
0,1,+2.000,+2.000,+9.000,+9.000,+99.438,+101.417,+96.494,+102.824,+100.291,+102.169,+102.824,+125.953,+99.864,+101.793,+100.713,+112.648,+0.427,+0.376,+2.589,+9.758,+2.000,+9.000,+100.427,+97.734,+101.230,+104.285,+100.829,+101.846,+0.401,+2.617
0,2,+12.000,+12.000,+3.000,+3.000,+96.901,+101.155,+98.642,+103.023,+110.597,+133.188,+102.824,+103.023,+101.926,+111.331,+100.894,+103.023,+3.107,+10.304,+1.722,+0.000,+12.000,+3.000,+100.508,+99.929,+121.893,+102.923,+106.628,+101.657,+6.217,+1.265
0,3,+12.000,+12.000,+3.000,+3.000,+100.183,+102.919,+100.230,+128.341,+105.420,+126.121,+102.824,+129.341,+102.774,+109.364,+101.959,+128.674,+1.312,+7.546,+1.222,+0.471,+12.000,+3.000,+102.086,+107.753,+114.803,+114.286,+106.069,+109.931,+4.150,+3.079
0,4,+7.000,+7.000,+6.000,+6.000,+100.998,+101.896,+99.589,+104.883,+103.989,+109.406,+109.649,+126.767,+103.141,+105.674,+103.447,+115.825,+1.135,+3.104,+3.712,+10.942,+7.000,+6.000,+101.571,+102.598,+106.697,+115.427,+104.407,+106.982,+1.961,+4.689
0,5,+12.000,+12.000,+0.000,+0.000,+100.664,+100.722,NaN,NaN,+105.474,+110.236,NaN,NaN,+103.040,+105.721,NaN,NaN,+1.352,+3.073,NaN,NaN,+12.000,+0.000,+100.693,NaN,+107.855,NaN,+104.380,NaN,+2.026,NaN
0,6,+10.000,+10.000,+3.000,+3.000,+98.017,+101.945,+99.303,+114.262,+103.405,+111.321,+102.824,+125.262,+101.513,+105.377,+100.477,+120.595,+1.556,+4.186,+1.659,+4.643,+10.000,+3.000,+99.981,+99.454,+107.363,+103.708,+103.445,+100.872,+2.548,+2.005
0,7,+9.000,+9.000,+3.000,+3.000,+96.228,+99.257,+98.706,+99.605,+105.487,+128.840,+98.706,+99.605,+101.129,+116.117,+98.706,+99.605,+2.607,+10.174,+0.000,+0.000,+9.000,+3.000,+99.120,+99.156,+115.068,+99.156,+108.623,+99.156,+5.437,+0.000
0,8,+13.000,+13.000,+2.000,+2.000,+97.048,+98.192,+99.303,+104.719,+104.477,+114.858,+99.605,+107.281,+101.079,+105.043,+99.454,+106.000,+1.701,+4.768,+0.151,+1.281,+13.000,+2.000,+97.620,+99.454,+108.217,+101.214,+103.061,+100.334,+2.861,+0.880
0,9,+9.000,+9.000,+6.000,+6.000,+98.262,+99.799,+98.822,+99.303,+103.600,+117.390,+105.000,+117.416,+100.939,+106.747,+100.883,+108.360,+1.792,+7.554,+2.911,+9.056,+9.000,+6.000,+99.722,+99.065,+110.495,+106.579,+103.843,+102.044,+4.506,+3.361
0,10,+11.000,+11.000,+1.000,+1.000,+99.910,+101.483,+101.116,+101.116,+107.496,+115.114,+101.116,+101.116,+102.297,+104.974,+101.116,+101.116,+2.018,+4.135,+0.000,+0.000,+11.000,+1.000,+100.697,+101.116,+109.103,+101.116,+103.636,+101.116,+2.610,+0.000
0,11,+0.000,+0.000,+8.000,+8.000,NaN,NaN,+102.211,+105.000,NaN,NaN,+109.323,+112.547,NaN,NaN,+105.925,+109.261,NaN,NaN,+2.738,+2.647,+0.000,+8.000,NaN,+105.000,NaN,+112.260,NaN,+108.060,NaN,+2.707
0,12,+2.000,+2.000,+0.000,+0.000,+99.177,+100.006,NaN,NaN,+99.586,+100.949,NaN,NaN,+99.381,+100.477,NaN,NaN,+0.204,+0.472,NaN,NaN,+2.000,+0.000,+99.796,NaN,+100.063,NaN,+99.929,NaN,+0.134,NaN
0,13,+4.000,+4.000,+3.000,+3.000,+96.123,+99.943,+99.091,+100.285,+102.618,+104.366,+99.360,+111.333,+100.700,+103.260,+99.181,+106.815,+2.686,+1.915,+0.127,+4.729,+4.000,+3.000,+98.033,+99.823,+103.492,+101.373,+101.980,+100.494,+2.291,+0.649
0,14,+10.000,+10.000,+1.000,+1.000,+98.714,+99.115,+96.379,+97.687,+100.949,+107.240,+96.379,+97.687,+99.863,+101.503,+96.379,+97.687,+0.834,+2.281,+0.000,+0.000,+10.000,+1.000,+98.914,+97.033,+103.878,+97.033,+100.683,+97.033,+1.430,+0.000
0,15,+17.000,+17.000,+4.000,+4.000,+97.075,+99.428,+100.418,+104.411,+103.106,+115.135,+103.000,+107.751,+100.094,+103.199,+101.907,+106.916,+1.280,+4.117,+1.060,+1.446,+17.000,+4.000,+99.134,+102.752,+108.649,+105.376,+101.646,+103.485,+2.368,+1.094
0,16,+12.000,+12.000,+9.000,+9.000,+99.999,+101.350,+98.470,+100.900,+103.200,+117.910,+100.925,+104.987,+101.503,+106.510,+99.178,+103.410,+1.134,+5.299,+0.665,+1.435,+12.000,+9.000,+101.179,+100.003,+108.955,+101.622,+104.007,+100.732,+2.339,+0.676
0,17,+11.000,+11.000,+8.000,+8.000,+96.583,+99.309,+97.477,+102.093,+102.414,+120.488,+103.466,+112.547,+99.754,+106.553,+101.207,+108.292,+2.119,+8.693,+1.986,+3.644,+11.000,+8.000,+97.946,+101.315,+111.451,+105.780,+103.154,+104.491,+5.160,+1.309
0,18,+12.000,+12.000,+8.000,+8.000,+97.317,+99.039,+103.466,+103.466,+101.840,+108.263,+108.126,+114.879,+99.270,+102.600,+105.635,+109.677,+1.251,+2.443,+2.088,+3.654,+12.000,+8.000,+98.612,+103.466,+103.600,+109.085,+100.935,+106.995,+1.413,+1.842
0,19,+7.000,+7.000,+3.000,+3.000,+100.161,+102.162,+97.774,+102.592,+104.087,+106.182,+100.898,+113.790,+101.749,+104.142,+99.856,+107.184,+1.094,+1.800,+1.472,+4.788,+7.000,+3.000,+101.677,+99.336,+105.135,+102.630,+102.946,+101.237,+1.132,+1.392
0,20,+10.000,+10.000,+3.000,+3.000,+98.267,+98.392,+100.531,+100.531,+102.740,+105.668,+100.541,+112.707,+101.223,+102.949,+100.534,+104.589,+1.320,+1.912,+0.005,+5.740,+10.000,+3.000,+98.330,+100.531,+104.204,+100.719,+102.086,+100.593,+1.588,+0.089
0,21,+5.000,+5.000,+9.000,+9.000,+98.175,+98.436,+100.531,+101.457,+102.554,+111.108,+102.474,+122.043,+99.670,+105.731,+101.150,+105.784,+1.875,+4.162,+0.609,+5.982,+5.000,+9.000,+98.305,+101.230,+104.642,+102.865,+102.701,+101.665,+2.296,+0.650
0,22,+10.000,+10.000,+8.000,+8.000,+96.591,+98.228,+100.768,+101.595,+99.412,+105.255,+105.866,+110.935,+98.209,+100.691,+102.005,+105.351,+1.130,+2.188,+1.483,+3.718,+10.000,+8.000,+97.638,+101.567,+102.334,+106.334,+99.450,+102.352,+1.604,+1.525
0,23,+10.000,+10.000,+5.000,+5.000,+95.416,+99.558,+96.340,+102.939,+100.661,+102.783,+99.575,+112.068,+98.341,+100.705,+97.893,+108.522,+2.191,+0.892,+1.246,+3.004,+10.000,+5.000,+97.707,+98.161,+101.483,+101.819,+99.523,+100.008,+1.392,+1.481
0,24,+8.000,+8.000,+6.000,+6.000,+98.245,+100.227,+98.661,+103.910,+102.740,+105.358,+100.598,+104.411,+101.345,+103.320,+100.113,+104.161,+1.462,+1.989,+0.677,+0.250,+8.000,+6.000,+99.236,+99.342,+104.049,+101.754,+102.333,+101.041,+1.699,+0.869
0,25,+9.000,+9.000,+4.000,+4.000,+98.185,+100.606,+97.238,+100.119,+102.109,+105.165,+100.119,+100.217,+101.067,+102.237,+99.095,+100.193,+1.202,+1.185,+1.181,+0.043,+9.000,+4.000,+100.080,+99.510,+103.190,+100.155,+101.652,+99.976,+0.941,+0.269
0,26,+13.000,+13.000,+6.000,+6.000,+96.893,+101.215,+97.528,+100.924,+104.841,+110.089,+99.923,+112.330,+100.288,+104.002,+98.725,+103.683,+2.219,+3.478,+1.197,+4.086,+13.000,+6.000,+99.387,+99.406,+107.465,+100.021,+102.145,+99.869,+2.530,+0.212
0,27,+6.000,+6.000,+3.000,+3.000,+95.292,+100.393,+98.669,+101.595,+100.393,+101.111,+98.669,+101.595,+97.843,+100.732,+98.669,+101.595,+2.550,+0.341,+0.000,+0.000,+6.000,+3.000,+97.843,+100.132,+100.752,+100.132,+99.287,+100.132,+1.335,+0.000
0,28,+11.000,+11.000,+6.000,+6.000,+95.694,+96.594,+99.923,+99.923,+101.595,+111.338,+102.620,+110.369,+97.797,+102.911,+101.271,+103.055,+1.674,+5.374,+1.349,+3.718,+11.000,+6.000,+96.144,+99.923,+105.687,+104.955,+100.354,+101.906,+3.204,+2.014
