game,day,CDA.ask.accepted.quantity,CDA.bid.accepted.quantity,CH.ask.accepted.quantity,CH.bid.accepted.quantity,CDA.ask.accepted.price.min,CDA.bid.accepted.price.min,CH.ask.accepted.price.min,CH.bid.accepted.price.min,CDA.ask.accepted.price.max,CDA.bid.accepted.price.max,CH.ask.accepted.price.max,CH.bid.accepted.price.max,CDA.ask.accepted.price.mean,CDA.bid.accepted.price.mean,CH.ask.accepted.price.mean,CH.bid.accepted.price.mean,CDA.ask.accepted.price.stdev,CDA.bid.accepted.price.stdev,CH.ask.accepted.price.stdev,CH.bid.accepted.price.stdev,CDA.transaction.quantity,CH.transaction.quantity,CDA.transaction.price.min,CH.transaction.price.min,CDA.transaction.price.max,CH.transaction.price.max,CDA.transaction.price.mean,CH.transaction.price.mean,CDA.transaction.price.stdev,CH.transaction.price.stdev
0,0,+0.000,+0.000,+0.000,+0.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,+0.000,+0.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0,1,+12.000,+12.000,+12.000,+12.000,+98.810,+99.340,+99.404,+102.621,+108.115,+175.787,+104.631,+174.801,+101.787,+132.938,+100.854,+135.019,+3.230,+34.232,+1.615,+25.124,+12.000,+12.000,+99.340,+99.647,+139.607,+116.772,+117.362,+105.479,+18.081,+6.599
0,2,+6.000,+6.000,+5.000,+5.000,+97.144,+100.400,+98.000,+98.071,+104.053,+179.465,+98.720,+113.514,+99.705,+139.933,+98.186,+103.157,+3.123,+39.533,+0.268,+5.463,+6.000,+5.000,+98.772,+98.035,+141.759,+99.527,+119.819,+99.035,+20.822,+0.515
0,3,+0.000,+0.000,+6.000,+6.000,NaN,NaN,+97.811,+100.340,NaN,NaN,+101.153,+102.384,NaN,NaN,+98.983,+101.362,NaN,NaN,+1.329,+1.022,+0.000,+6.000,NaN,+98.625,NaN,+101.286,NaN,+99.936,NaN,+1.037
0,4,+10.000,+10.000,+3.000,+3.000,+95.909,+100.011,+96.147,+149.099,+100.334,+101.824,+97.641,+177.687,+98.645,+100.470,+97.143,+164.263,+1.387,+0.691,+0.704,+11.736,+10.000,+3.000,+97.960,+96.894,+101.079,+99.472,+99.557,+98.612,+0.933,+1.215
0,5,+8.000,+8.000,+0.000,+0.000,+100.011,+101.564,NaN,NaN,+104.589,+107.377,NaN,NaN,+101.203,+103.555,NaN,NaN,+1.767,+1.714,NaN,NaN,+8.000,+0.000,+100.969,NaN,+105.983,NaN,+102.379,NaN,+1.637,NaN
0,6,+3.000,+3.000,+9.000,+9.000,+101.100,+173.826,+97.708,+104.289,+106.766,+173.826,+104.289,+155.650,+103.212,+173.826,+100.654,+119.866,+2.528,+0.000,+2.677,+20.006,+3.000,+9.000,+137.463,+101.289,+140.296,+106.429,+138.519,+103.363,+1.264,+1.391
0,7,+0.000,+0.000,+7.000,+7.000,NaN,NaN,+98.905,+103.280,NaN,NaN,+111.621,+144.877,NaN,NaN,+104.002,+121.394,NaN,NaN,+3.803,+14.253,+0.000,+7.000,NaN,+101.070,NaN,+113.658,NaN,+107.597,NaN,+4.388
0,8,+3.000,+3.000,+11.000,+11.000,+95.939,+100.011,+96.902,+101.574,+99.891,+100.011,+101.741,+129.422,+98.395,+100.011,+99.883,+112.929,+1.751,+0.000,+1.270,+11.117,+3.000,+11.000,+97.975,+98.355,+99.951,+103.164,+99.203,+101.140,+0.875,+1.409
0,9,+5.000,+5.000,+0.000,+0.000,+96.863,+99.114,NaN,NaN,+99.114,+101.354,NaN,NaN,+97.389,+99.568,NaN,NaN,+0.875,+0.893,NaN,NaN,+5.000,+0.000,+97.988,NaN,+99.114,NaN,+98.479,NaN,+0.521,NaN
0,10,+9.000,+9.000,+3.000,+3.000,+99.145,+99.347,+96.582,+103.801,+150.833,+153.078,+98.060,+103.801,+107.463,+119.301,+97.075,+103.801,+15.682,+23.959,+0.697,+0.000,+9.000,+3.000,+99.246,+96.937,+151.955,+99.477,+113.382,+97.912,+17.660,+1.118
0,11,+6.000,+6.000,+12.000,+12.000,+96.454,+154.943,+97.278,+101.664,+120.930,+177.377,+104.158,+123.495,+105.593,+166.160,+100.354,+109.065,+7.466,+11.217,+1.962,+7.236,+6.000,+12.000,+125.699,+99.642,+149.153,+104.922,+135.877,+101.971,+7.989,+1.700
0,12,+7.000,+7.000,+20.000,+20.000,+96.928,+97.382,+98.090,+104.869,+105.156,+105.585,+117.987,+137.575,+100.866,+102.637,+104.624,+117.489,+2.930,+2.695,+5.036,+8.933,+7.000,+20.000,+97.155,+104.599,+105.370,+121.868,+101.751,+108.276,+2.719,+4.690
0,13,+3.000,+3.000,+12.000,+12.000,+101.664,+101.664,+98.487,+101.744,+101.664,+101.844,+112.299,+153.609,+101.664,+101.724,+102.183,+122.107,+0.000,+0.085,+3.675,+16.554,+3.000,+12.000,+101.664,+99.534,+101.754,+114.796,+101.694,+104.546,+0.042,+5.217
0,14,+6.000,+6.000,+11.000,+11.000,+95.569,+101.316,+98.417,+101.775,+101.233,+104.000,+106.042,+126.632,+97.727,+102.349,+100.926,+113.283,+1.907,+1.171,+2.848,+10.373,+6.000,+11.000,+98.582,+99.056,+102.616,+110.084,+100.038,+103.603,+1.231,+3.629
0,15,+3.000,+3.000,+10.000,+10.000,+105.886,+136.568,+97.864,+102.544,+117.117,+136.568,+114.995,+140.120,+113.296,+136.568,+101.913,+124.350,+5.241,+0.000,+5.239,+12.302,+3.000,+10.000,+121.227,+98.779,+126.842,+122.256,+124.932,+106.775,+2.620,+8.489
0,16,+7.000,+7.000,+13.000,+13.000,+97.122,+97.122,+96.171,+96.721,+113.200,+115.438,+106.360,+127.124,+104.799,+108.654,+100.951,+109.422,+6.083,+6.406,+3.569,+7.234,+7.000,+13.000,+97.122,+96.528,+114.105,+108.819,+106.727,+102.812,+6.073,+3.149
0,17,+3.000,+3.000,+12.000,+12.000,+96.735,+102.122,+96.101,+100.678,+101.627,+102.122,+104.833,+142.678,+99.997,+102.122,+98.939,+116.118,+2.306,+0.000,+2.644,+13.686,+3.000,+12.000,+99.429,+98.524,+101.874,+106.081,+101.059,+101.326,+1.153,+2.407
0,18,+2.000,+2.000,+9.000,+9.000,+102.454,+106.809,+96.469,+99.508,+103.779,+106.809,+101.475,+122.476,+103.117,+106.809,+99.344,+110.770,+0.662,+0.000,+1.659,+9.265,+2.000,+9.000,+104.632,+97.888,+105.294,+102.659,+104.963,+99.990,+0.331,+1.570
0,19,+7.000,+7.000,+7.000,+7.000,+101.065,+103.980,+98.104,+99.904,+115.677,+125.712,+102.122,+191.028,+105.329,+119.764,+99.196,+123.253,+4.698,+7.138,+1.319,+33.050,+7.000,+7.000,+102.522,+98.681,+120.694,+102.731,+112.546,+100.542,+5.150,+1.468
0,20,+13.000,+13.000,+8.000,+8.000,+101.627,+105.858,+97.693,+98.842,+111.374,+127.327,+99.258,+111.895,+104.910,+111.630,+97.971,+103.118,+2.856,+5.041,+0.496,+4.392,+13.000,+8.000,+103.742,+97.750,+114.477,+100.122,+108.270,+99.072,+2.847,+0.877
0,21,+6.000,+6.000,+11.000,+11.000,+100.675,+101.706,+98.842,+112.560,+104.769,+120.976,+108.507,+149.266,+102.795,+108.597,+102.563,+125.475,+1.762,+8.537,+2.945,+10.621,+6.000,+11.000,+101.191,+102.828,+112.776,+109.479,+105.696,+106.998,+5.022,+2.293
0,22,+8.000,+8.000,+11.000,+11.000,+98.872,+101.937,+97.989,+101.284,+104.278,+113.735,+103.928,+129.576,+101.818,+106.228,+100.208,+110.672,+1.783,+4.099,+2.257,+8.437,+8.000,+11.000,+100.405,+98.522,+109.006,+110.994,+104.023,+103.404,+2.873,+3.910
0,23,+8.000,+8.000,+18.000,+18.000,+97.961,+100.626,+96.755,+107.791,+102.303,+102.853,+107.659,+138.649,+100.481,+102.221,+102.355,+111.763,+1.504,+0.868,+3.517,+7.269,+8.000,+18.000,+99.894,+106.554,+102.578,+108.695,+101.351,+107.594,+1.053,+0.743
0,24,+8.000,+8.000,+15.000,+15.000,+99.891,+101.549,+99.493,+104.991,+106.555,+153.202,+109.293,+167.027,+102.117,+116.111,+103.334,+121.252,+1.826,+17.564,+3.044,+16.583,+8.000,+15.000,+100.720,+101.993,+129.879,+109.477,+109.114,+105.063,+9.588,+2.772
0,25,+5.000,+5.000,+9.000,+9.000,+97.667,+98.064,+99.458,+104.459,+102.804,+118.846,+104.340,+118.955,+100.279,+109.597,+102.326,+108.566,+1.688,+6.742,+1.790,+5.847,+5.000,+9.000,+97.866,+103.462,+109.369,+104.758,+104.938,+104.411,+3.890,+0.414
0,26,+3.000,+3.000,+14.000,+14.000,+108.417,+135.726,+97.947,+103.899,+121.278,+135.726,+107.786,+128.308,+112.766,+135.726,+102.495,+112.044,+6.020,+0.000,+2.817,+5.641,+3.000,+14.000,+122.072,+100.193,+128.502,+108.695,+124.246,+105.899,+3.010,+2.439
