game,day,CDA.ask.accepted.quantity,CDA.bid.accepted.quantity,CH.ask.accepted.quantity,CH.bid.accepted.quantity,CDA.ask.accepted.price.min,CDA.bid.accepted.price.min,CH.ask.accepted.price.min,CH.bid.accepted.price.min,CDA.ask.accepted.price.max,CDA.bid.accepted.price.max,CH.ask.accepted.price.max,CH.bid.accepted.price.max,CDA.ask.accepted.price.mean,CDA.bid.accepted.price.mean,CH.ask.accepted.price.mean,CH.bid.accepted.price.mean,CDA.ask.accepted.price.stdev,CDA.bid.accepted.price.stdev,CH.ask.accepted.price.stdev,CH.bid.accepted.price.stdev,CDA.transaction.quantity,CH.transaction.quantity,CDA.transaction.price.min,CH.transaction.price.min,CDA.transaction.price.max,CH.transaction.price.max,CDA.transaction.price.mean,CH.transaction.price.mean,CDA.transaction.price.stdev,CH.transaction.price.stdev
0,0,+0.000,+0.000,+0.000,+0.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,+0.000,+0.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0,1,+6.000,+6.000,+3.000,+3.000,+96.356,+112.353,+96.233,+98.413,+108.115,+121.900,+97.548,+123.299,+100.555,+117.126,+96.928,+106.708,+4.593,+4.773,+0.539,+11.732,+6.000,+3.000,+104.355,+96.890,+115.007,+101.089,+108.841,+98.418,+3.813,+1.895
0,2,+15.000,+15.000,+7.000,+7.000,+95.926,+102.535,+100.210,+103.851,+125.434,+147.867,+104.631,+108.531,+105.152,+118.747,+102.743,+106.174,+7.944,+14.329,+1.765,+1.596,+15.000,+7.000,+100.292,+101.455,+130.610,+105.430,+111.950,+103.989,+9.787,+1.634
0,3,+11.000,+11.000,+14.000,+14.000,+98.507,+101.481,+97.222,+101.635,+105.990,+153.191,+105.922,+141.110,+102.466,+114.570,+103.026,+120.377,+2.599,+17.790,+2.595,+12.956,+11.000,+14.000,+100.131,+99.379,+128.349,+105.922,+108.518,+104.659,+9.669,+1.511
0,4,+9.000,+9.000,+6.000,+6.000,+100.552,+103.779,+96.115,+105.637,+104.477,+155.779,+99.177,+120.421,+103.913,+118.848,+97.914,+115.061,+1.219,+19.162,+1.002,+4.947,+9.000,+6.000,+102.165,+97.234,+130.128,+100.815,+111.380,+98.852,+9.815,+1.041
0,5,+17.000,+17.000,+4.000,+4.000,+95.924,+98.040,+97.961,+104.419,+115.265,+137.209,+103.206,+108.303,+102.234,+114.483,+99.272,+105.473,+4.138,+16.097,+2.271,+1.639,+17.000,+4.000,+97.932,+100.584,+126.237,+103.978,+108.358,+102.069,+9.305,+1.516
0,6,+15.000,+15.000,+9.000,+9.000,+102.755,+103.890,+97.128,+99.717,+132.927,+137.229,+101.796,+120.326,+106.550,+113.787,+99.054,+105.379,+7.240,+12.439,+1.803,+5.924,+15.000,+9.000,+103.890,+99.717,+135.078,+102.744,+110.168,+100.894,+8.901,+1.095
0,7,+9.000,+9.000,+9.000,+9.000,+98.486,+102.755,+95.248,+101.311,+144.253,+147.886,+102.755,+114.413,+107.224,+130.351,+99.076,+105.108,+13.273,+19.085,+2.921,+4.839,+9.000,+9.000,+100.620,+100.779,+146.070,+103.555,+118.788,+101.942,+13.607,+0.913
0,8,+6.000,+6.000,+6.000,+6.000,+103.061,+131.746,+99.277,+102.581,+140.327,+176.155,+101.362,+104.356,+111.537,+162.619,+100.280,+103.823,+13.554,+16.330,+0.813,+0.649,+6.000,+6.000,+117.403,+100.479,+158.241,+101.573,+137.078,+101.048,+12.514,+0.438
0,9,+18.000,+18.000,+12.000,+12.000,+98.677,+104.356,+98.846,+105.823,+113.506,+130.393,+106.692,+146.735,+103.858,+111.083,+103.170,+116.046,+3.917,+9.023,+2.729,+12.106,+18.000,+12.000,+101.662,+102.334,+121.949,+108.438,+107.470,+105.358,+5.943,+1.380
