game,day,buyerGD_0.value,buyerGD_1.value,buyerGD_2.value,buyerGD_3.value,buyerGD_4.value,buyerRE_0.value,buyerRE_1.value,buyerRE_2.value,buyerRE_3.value,buyerRE_4.value,buyerZIC_0.value,buyerZIC_1.value,buyerZIC_2.value,buyerZIC_3.value,buyerZIC_4.value,buyerZIP_0.value,buyerZIP_1.value,buyerZIP_2.value,buyerZIP_3.value,buyerZIP_4.value,sellerGD_0.value,sellerGD_1.value,sellerGD_2.value,sellerGD_3.value,sellerGD_4.value,sellerRE_0.value,sellerRE_1.value,sellerRE_2.value,sellerRE_3.value,sellerRE_4.value,sellerZIC_0.value,sellerZIC_1.value,sellerZIC_2.value,sellerZIC_3.value,sellerZIC_4.value,sellerZIP_0.value,sellerZIP_1.value,sellerZIP_2.value,sellerZIP_3.value,sellerZIP_4.value
0,0,+56.224,+48.805,+41.665,+20.852,+78.714,+46.578,+70.585,+47.071,+61.355,+23.670,+26.405,+32.338,+12.931,+30.653,+62.956,+62.125,+53.186,+71.576,+91.286,+80.910,+100.297,+98.039,+104.741,+95.026,+97.986,+102.372,+101.318,+97.742,+104.891,+103.734,+96.897,+96.739,+96.122,+100.887,+98.955,+101.952,+96.883,+96.637,+103.343,+98.823
0,1,+84.888,+59.455,+57.318,+50.329,+92.210,+64.346,+11.775,+71.457,+71.416,+98.495,+23.532,+57.800,+44.545,+106.139,+52.317,+23.048,+39.566,+45.192,+14.247,+55.482,+101.492,+95.752,+96.239,+95.178,+99.606,+100.456,+97.399,+100.267,+103.629,+101.434,+103.039,+96.983,+98.088,+103.827,+104.616,+102.954,+99.705,+100.623,+104.984,+103.327
0,2,+27.803,+46.809,+67.595,+69.211,+80.718,+81.320,+123.799,+52.517,+61.836,+60.917,+24.826,+47.254,+55.908,+98.705,+98.275,+76.330,+42.489,+17.922,+17.395,+147.484,+97.394,+102.152,+95.183,+99.125,+99.179,+99.854,+95.682,+95.644,+101.594,+97.824,+102.340,+95.922,+99.565,+101.053,+104.246,+102.478,+96.382,+101.982,+103.874,+100.030
0,3,+72.191,+10.964,+149.405,+95.560,+20.015,+25.326,+54.900,+149.463,+27.365,+105.383,+111.900,+63.127,+24.929,+27.614,+68.179,+20.259,+101.750,+104.843,+63.264,+64.643,+97.331,+95.379,+102.497,+98.808,+101.249,+98.134,+102.280,+99.771,+101.057,+102.426,+95.190,+100.202,+102.588,+103.888,+98.796,+101.637,+99.097,+99.483,+95.945,+97.740
0,4,+70.147,+77.799,+31.395,+21.539,+19.929,+108.899,+91.913,+100.756,+43.810,+12.897,+81.902,+57.052,+92.200,+35.555,+21.411,+11.664,+27.693,+125.570,+136.912,+17.361,+104.493,+103.051,+103.136,+96.686,+98.441,+104.494,+95.122,+100.286,+103.263,+98.184,+96.665,+95.625,+103.580,+100.148,+101.025,+103.376,+104.111,+100.310,+104.438,+95.935
0,5,+7.318,+35.901,+42.122,+36.650,+60.383,+96.301,+45.728,+60.514,+81.269,+70.770,+40.233,+106.622,+59.032,+42.796,+46.584,+112.305,+99.472,+72.219,+39.104,+11.326,+100.345,+103.773,+98.577,+97.271,+100.431,+100.994,+102.011,+97.477,+100.561,+102.745,+103.182,+98.471,+96.245,+104.235,+99.131,+103.955,+99.836,+95.872,+96.951,+100.780
0,6,+84.366,+113.520,+6.282,+73.633,+66.043,+118.408,+32.044,+39.946,+76.490,+28.690,+43.951,+10.984,+133.714,+35.819,+148.853,+67.052,+115.765,+88.267,+54.957,+113.860,+100.654,+96.303,+95.317,+102.843,+95.297,+97.314,+98.907,+95.723,+97.206,+97.520,+104.232,+99.084,+97.543,+97.253,+104.198,+103.321,+100.947,+101.230,+98.558,+101.595
0,7,+56.181,+17.129,+22.972,+40.063,+83.391,+4.965,+102.656,+68.011,+199.334,+48.297,+93.175,+85.940,+112.659,+101.034,+70.392,+108.838,+21.278,+26.699,+45.847,+98.239,+98.845,+96.168,+96.666,+100.886,+101.388,+98.748,+102.719,+100.035,+97.866,+98.984,+99.005,+100.590,+102.446,+103.677,+101.306,+101.922,+104.948,+103.917,+104.234,+103.426
0,8,+77.409,+127.763,+57.153,+47.958,+35.875,+50.057,+177.605,+116.413,+37.708,+48.863,+32.185,+109.979,+29.800,+93.072,+51.965,+48.873,+18.230,+59.815,+89.426,+89.551,+103.644,+102.441,+102.855,+104.367,+104.581,+100.189,+102.911,+104.271,+96.521,+103.749,+98.699,+95.391,+95.923,+98.815,+97.903,+98.793,+97.736,+103.109,+104.318,+95.876
0,9,+46.591,+100.717,+46.133,+43.795,+77.598,+39.588,+40.370,+85.620,+64.091,+59.160,+127.274,+47.353,+60.782,+187.957,+122.214,+62.987,+60.407,+79.257,+96.887,+108.219,+96.484,+100.334,+95.805,+99.392,+98.203,+99.233,+95.909,+98.952,+104.284,+97.785,+104.776,+95.638,+104.604,+102.891,+95.335,+99.979,+99.769,+101.971,+98.341,+104.319
