game,day,memory.max,memory.total,memory.used,memory.free
0,0,+1019776.000,+83008.000,+5595.000,+77413.000
0,1,+1019776.000,+83008.000,+5720.000,+77288.000
0,2,+1019776.000,+83008.000,+4937.000,+78071.000
0,3,+1019776.000,+83008.000,+5016.000,+77992.000
0,4,+1019776.000,+83008.000,+5545.000,+77463.000
0,5,+1019776.000,+83008.000,+5888.000,+77120.000
0,6,+1019776.000,+83008.000,+5942.000,+77066.000
0,7,+1019776.000,+83008.000,+5621.000,+77387.000
0,8,+1019776.000,+83008.000,+5892.000,+77116.000
0,9,+1019776.000,+83008.000,+4985.000,+78023.000
0,10,+1019776.000,+83008.000,+5741.000,+77267.000
0,11,+1019776.000,+83008.000,+5695.000,+77313.000
0,12,+1019776.000,+83008.000,+21476.000,+61532.000
0,13,+1019776.000,+83008.000,+6575.000,+76433.000
0,14,+1019776.000,+83008.000,+8007.000,+75001.000
0,15,+1019776.000,+83008.000,+6629.000,+76379.000
0,16,+1019776.000,+83008.000,+6279.000,+76729.000
0,17,+1019776.000,+83008.000,+6514.000,+76494.000
0,18,+1019776.000,+83008.000,+6730.000,+76278.000
0,19,+1019776.000,+83008.000,+6723.000,+76285.000
1,0,+1019776.000,+83008.000,+6710.000,+76298.000
1,1,+1019776.000,+83008.000,+6738.000,+76270.000
1,2,+1019776.000,+83008.000,+6737.000,+76271.000
1,3,+1019776.000,+83008.000,+25598.000,+57410.000
1,4,+1019776.000,+83008.000,+10667.000,+72341.000
1,5,+1019776.000,+83008.000,+7357.000,+75651.000
1,6,+1019776.000,+83008.000,+7366.000,+75642.000
1,7,+1019776.000,+83008.000,+7487.000,+75521.000
1,8,+1019776.000,+83008.000,+7599.000,+75409.000
1,9,+1019776.000,+83008.000,+7981.000,+75027.000
1,10,+1019776.000,+83008.000,+8056.000,+74952.000
1,11,+1019776.000,+83008.000,+13708.000,+69300.000
1,12,+1019776.000,+83008.000,+4851.000,+78157.000
1,13,+1019776.000,+83008.000,+4905.000,+78103.000
1,14,+1019776.000,+83008.000,+4968.000,+78040.000
1,15,+1019776.000,+83008.000,+22262.000,+60746.000
1,16,+1019776.000,+83008.000,+5585.000,+77423.000
1,17,+1019776.000,+83008.000,+4915.000,+78093.000
1,18,+1019776.000,+83008.000,+7310.000,+75698.000
1,19,+1019776.000,+83008.000,+5859.000,+77149.000
