game,day,buyerGD_0.value,buyerGD_1.value,buyerGD_2.value,buyerGD_3.value,buyerGD_4.value,buyerRE_0.value,buyerRE_1.value,buyerRE_2.value,buyerRE_3.value,buyerRE_4.value,buyerZIC_0.value,buyerZIC_1.value,buyerZIC_2.value,buyerZIC_3.value,buyerZIC_4.value,buyerZIP_0.value,buyerZIP_1.value,buyerZIP_2.value,buyerZIP_3.value,buyerZIP_4.value,sellerGD_0.value,sellerGD_1.value,sellerGD_2.value,sellerGD_3.value,sellerGD_4.value,sellerRE_0.value,sellerRE_1.value,sellerRE_2.value,sellerRE_3.value,sellerRE_4.value,sellerZIC_0.value,sellerZIC_1.value,sellerZIC_2.value,sellerZIC_3.value,sellerZIC_4.value,sellerZIP_0.value,sellerZIP_1.value,sellerZIP_2.value,sellerZIP_3.value,sellerZIP_4.value
0,0,+102.490,+99.522,+96.666,+88.341,+111.486,+98.631,+108.234,+98.829,+104.542,+89.468,+90.562,+92.935,+85.172,+92.261,+105.182,+104.850,+101.274,+108.630,+116.514,+112.364,+100.297,+98.039,+104.741,+95.026,+97.986,+102.372,+101.318,+97.742,+104.891,+103.734,+96.897,+96.739,+96.122,+100.887,+98.955,+101.952,+96.883,+96.637,+103.343,+98.823
0,1,+98.010,+102.650,+106.586,+123.453,+111.845,+96.483,+103.422,+99.884,+121.228,+124.494,+101.822,+89.489,+120.565,+89.525,+76.061,+109.519,+74.758,+70.405,+93.637,+113.050,+101.087,+95.415,+101.921,+99.689,+101.992,+102.269,+99.485,+103.009,+100.423,+103.613,+97.275,+104.528,+95.193,+99.905,+104.127,+101.523,+99.075,+95.628,+99.420,+102.837
0,2,+107.080,+112.486,+135.810,+119.180,+102.661,+103.401,+110.861,+66.161,+90.411,+123.269,+92.336,+91.330,+66.830,+108.151,+75.638,+84.333,+104.207,+135.376,+126.604,+128.131,+96.870,+97.486,+96.557,+99.603,+101.592,+102.150,+102.453,+95.497,+100.026,+104.727,+99.333,+98.268,+103.118,+103.843,+100.691,+103.393,+101.700,+102.397,+103.527,+99.891
0,3,+77.654,+85.913,+86.100,+116.793,+92.067,+116.874,+122.300,+68.079,+91.647,+107.162,+85.210,+97.999,+73.806,+85.142,+120.888,+113.978,+87.946,+76.151,+92.893,+118.566,+102.343,+103.003,+102.523,+104.302,+103.815,+99.994,+102.817,+99.665,+97.178,+101.871,+96.608,+99.520,+97.634,+96.023,+95.459,+101.302,+95.692,+100.992,+102.023,+100.760
0,4,+80.014,+81.740,+104.741,+96.844,+170.049,+119.458,+99.924,+91.795,+131.641,+106.580,+97.499,+83.452,+70.286,+93.188,+100.443,+97.267,+101.806,+105.276,+131.004,+123.358,+104.446,+102.819,+103.616,+97.961,+98.099,+101.961,+100.514,+102.789,+99.517,+100.447,+96.352,+103.510,+95.491,+99.154,+100.483,+95.234,+100.029,+98.326,+96.182,+101.439
0,5,+120.470,+73.355,+114.654,+107.200,+90.095,+92.405,+159.051,+97.792,+99.369,+71.731,+89.800,+112.776,+95.377,+91.573,+91.900,+126.501,+76.016,+109.821,+90.747,+84.040,+98.405,+103.606,+97.443,+99.606,+101.431,+103.338,+104.469,+100.025,+96.010,+99.198,+102.657,+102.644,+100.208,+103.822,+97.847,+104.662,+102.943,+104.925,+101.989,+103.263
0,6,+91.929,+121.673,+123.813,+114.573,+101.477,+93.732,+61.038,+105.577,+114.880,+95.701,+81.556,+68.501,+84.678,+106.490,+75.643,+132.633,+122.966,+100.462,+125.138,+139.944,+98.573,+100.826,+104.271,+100.879,+97.696,+103.472,+99.582,+95.479,+102.586,+99.310,+96.286,+103.392,+100.499,+96.553,+96.907,+99.329,+101.690,+97.644,+104.930,+102.422
0,7,+97.869,+95.975,+141.645,+123.716,+125.254,+98.426,+106.959,+165.101,+138.251,+120.836,+105.809,+115.702,+108.551,+84.933,+104.785,+108.861,+121.852,+125.821,+117.317,+70.000,+100.692,+101.289,+103.908,+100.623,+102.197,+97.330,+97.949,+95.224,+104.582,+95.931,+98.789,+96.413,+104.747,+99.406,+97.012,+97.661,+104.695,+101.397,+100.093,+97.280
0,8,+92.491,+54.461,+114.748,+106.441,+103.570,+112.446,+131.195,+105.858,+74.427,+103.889,+148.668,+162.957,+133.795,+88.416,+143.622,+77.935,+90.331,+95.012,+122.439,+148.650,+99.319,+100.374,+102.001,+101.518,+97.147,+95.015,+102.676,+103.758,+100.837,+104.406,+104.513,+101.326,+104.583,+102.558,+99.073,+101.486,+102.341,+96.000,+98.780,+98.364
0,9,+97.524,+128.861,+130.838,+111.406,+108.634,+121.036,+134.250,+121.584,+144.480,+67.858,+84.204,+99.189,+84.096,+110.723,+109.566,+82.995,+78.229,+91.017,+105.592,+97.835,+99.318,+99.999,+102.940,+103.129,+101.294,+97.487,+95.025,+102.454,+99.187,+99.017,+97.942,+102.503,+95.075,+101.931,+98.531,+98.888,+104.274,+102.049,+100.605,+103.109
