game,day,buyerGD_0.value,buyerGD_1.value,buyerGD_2.value,buyerGD_3.value,buyerGD_4.value,buyerRE_0.value,buyerRE_1.value,buyerRE_2.value,buyerRE_3.value,buyerRE_4.value,buyerZIC_0.value,buyerZIC_1.value,buyerZIC_2.value,buyerZIC_3.value,buyerZIC_4.value,buyerZIP_0.value,buyerZIP_1.value,buyerZIP_2.value,buyerZIP_3.value,buyerZIP_4.value,sellerGD_0.value,sellerGD_1.value,sellerGD_2.value,sellerGD_3.value,sellerGD_4.value,sellerRE_0.value,sellerRE_1.value,sellerRE_2.value,sellerRE_3.value,sellerRE_4.value,sellerZIC_0.value,sellerZIC_1.value,sellerZIC_2.value,sellerZIC_3.value,sellerZIC_4.value,sellerZIP_0.value,sellerZIP_1.value,sellerZIP_2.value,sellerZIP_3.value,sellerZIP_4.value
0,0,+67.469,+58.566,+49.998,+25.022,+94.457,+55.893,+84.702,+56.486,+73.626,+28.404,+31.686,+38.805,+15.517,+36.784,+75.547,+74.550,+63.823,+85.891,+109.543,+97.092,+100.297,+98.039,+104.741,+95.026,+97.986,+102.372,+101.318,+97.742,+104.891,+103.734,+96.897,+96.739,+96.122,+100.887,+98.955,+101.952,+96.883,+96.637,+103.343,+98.823
0,1,+93.163,+144.333,+50.721,+52.675,+34.360,+67.687,+172.193,+89.932,+80.853,+18.324,+57.729,+46.815,+71.879,+57.540,+135.281,+31.037,+164.757,+48.646,+98.519,+108.211,+96.134,+101.305,+104.674,+104.567,+100.710,+104.583,+98.583,+95.480,+98.950,+95.519,+100.719,+102.249,+98.683,+97.369,+97.412,+97.218,+104.474,+98.458,+99.658,+97.289
0,2,+104.009,+105.018,+89.660,+132.086,+110.755,+131.383,+97.901,+113.778,+96.176,+107.111,+93.839,+90.590,+98.075,+101.689,+137.171,+65.990,+89.577,+81.777,+130.291,+81.504,+97.860,+101.766,+95.689,+97.617,+99.052,+102.369,+97.451,+101.369,+96.108,+100.765,+96.769,+103.208,+102.792,+99.542,+96.351,+102.413,+101.747,+98.632,+101.829,+100.205
0,3,+97.698,+72.053,+89.916,+88.482,+89.828,+127.880,+112.920,+94.583,+96.559,+95.205,+102.526,+100.527,+94.839,+88.995,+91.034,+113.583,+116.321,+107.897,+112.702,+109.618,+104.385,+98.714,+97.964,+100.591,+99.800,+98.778,+104.318,+98.216,+100.078,+103.316,+95.687,+98.860,+103.688,+98.629,+103.731,+100.431,+100.875,+100.024,+100.821,+103.233
0,4,+105.162,+87.823,+140.599,+95.620,+119.176,+123.955,+96.445,+101.667,+125.246,+118.568,+100.342,+112.001,+88.413,+69.399,+99.635,+114.574,+108.737,+85.087,+113.963,+111.084,+102.184,+103.881,+99.848,+96.388,+98.124,+99.602,+101.552,+104.019,+101.630,+101.311,+96.761,+98.337,+100.229,+103.983,+103.560,+103.375,+100.165,+103.595,+101.978,+100.331
0,5,+88.962,+112.570,+122.351,+115.167,+103.035,+116.014,+137.264,+105.951,+92.140,+105.864,+97.154,+104.340,+107.220,+98.509,+108.470,+109.634,+85.176,+125.408,+117.498,+99.447,+104.198,+103.084,+95.117,+100.867,+97.329,+97.333,+100.153,+97.253,+99.519,+97.314,+103.517,+97.693,+97.400,+97.197,+99.084,+100.374,+96.303,+97.206,+102.114,+96.032
0,6,+101.680,+103.052,+104.062,+96.717,+108.920,+93.136,+102.920,+95.181,+115.739,+91.976,+97.643,+119.537,+85.039,+95.590,+110.466,+96.510,+135.797,+107.565,+117.943,+88.546,+100.237,+97.723,+102.360,+99.596,+95.890,+103.553,+96.456,+101.062,+99.516,+100.467,+98.735,+101.949,+97.128,+99.962,+98.534,+103.543,+102.037,+95.380,+102.615,+99.654
0,7,+105.722,+117.317,+118.799,+105.414,+107.962,+94.060,+102.265,+89.940,+97.373,+98.773,+108.777,+109.470,+108.046,+102.660,+83.073,+103.160,+109.010,+114.373,+122.481,+109.851,+96.176,+95.776,+97.996,+95.653,+98.908,+104.596,+102.846,+103.331,+100.648,+97.682,+100.286,+99.551,+96.659,+97.386,+103.895,+96.033,+102.394,+99.743,+97.436,+97.898
0,8,+95.113,+109.438,+117.598,+104.677,+100.905,+99.223,+110.281,+97.428,+99.453,+93.528,+115.334,+111.076,+97.200,+96.830,+117.521,+83.250,+99.883,+115.584,+110.854,+114.933,+98.814,+99.683,+103.725,+98.758,+99.614,+102.806,+103.560,+99.338,+96.422,+97.328,+99.017,+102.762,+104.077,+104.370,+102.581,+99.471,+102.578,+103.068,+96.047,+96.684
0,9,+99.169,+110.181,+97.642,+99.742,+106.159,+102.576,+88.673,+83.455,+116.467,+103.420,+122.859,+106.476,+115.312,+101.519,+122.579,+121.877,+113.559,+106.549,+104.217,+94.817,+98.162,+96.978,+100.634,+101.639,+97.932,+104.682,+96.625,+100.753,+99.736,+97.979,+101.684,+104.463,+102.796,+104.097,+101.784,+97.115,+101.495,+98.326,+98.276,+102.628
0,10,+103.672,+102.020,+106.980,+101.744,+97.100,+111.686,+102.023,+91.676,+89.918,+103.437,+116.016,+101.106,+93.704,+99.080,+90.300,+92.708,+95.239,+94.983,+88.075,+78.406,+96.438,+98.936,+104.103,+100.747,+98.041,+98.878,+104.751,+96.955,+101.557,+97.173,+99.950,+97.858,+96.579,+96.400,+104.737,+97.600,+95.887,+96.415,+103.739,+104.640
0,11,+98.612,+100.051,+110.391,+103.890,+121.775,+107.415,+115.362,+94.448,+105.162,+91.873,+110.679,+97.554,+96.627,+101.776,+105.927,+98.500,+98.928,+99.240,+109.697,+90.558,+98.035,+98.956,+101.822,+99.573,+100.223,+103.978,+102.591,+102.550,+104.935,+99.681,+98.539,+97.552,+97.165,+97.139,+103.316,+104.466,+101.523,+99.721,+102.198,+100.626
0,12,+96.646,+99.696,+87.443,+94.988,+95.910,+82.519,+104.721,+87.403,+94.981,+99.665,+96.653,+101.839,+89.237,+97.801,+113.949,+91.498,+111.757,+104.759,+110.743,+106.946,+101.588,+100.434,+100.459,+102.051,+98.111,+101.848,+104.232,+104.390,+96.508,+104.302,+100.465,+97.739,+101.916,+100.469,+100.398,+103.203,+104.468,+100.501,+102.039,+98.872
0,13,+104.834,+93.143,+114.423,+97.602,+118.647,+104.594,+110.030,+119.460,+118.444,+94.582,+94.976,+116.466,+115.030,+91.519,+111.964,+115.135,+95.932,+97.891,+89.124,+93.031,+103.370,+100.593,+95.606,+97.719,+103.955,+103.056,+96.215,+100.129,+95.193,+99.901,+99.250,+98.222,+103.430,+101.564,+95.597,+98.554,+103.139,+96.950,+103.405,+104.358
0,14,+107.632,+96.961,+100.665,+106.090,+106.690,+111.798,+114.543,+107.390,+105.265,+100.175,+97.562,+101.538,+80.645,+106.606,+111.479,+100.174,+90.001,+111.329,+105.379,+97.544,+98.083,+102.530,+101.514,+99.088,+100.135,+99.684,+100.372,+99.819,+104.277,+104.462,+98.213,+96.270,+104.528,+98.112,+102.475,+95.041,+101.181,+97.530,+96.969,+96.296
0,15,+83.116,+100.013,+118.744,+88.559,+92.571,+101.225,+104.910,+105.218,+104.209,+103.273,+99.115,+115.586,+96.128,+110.861,+97.802,+95.383,+108.045,+106.158,+136.476,+113.820,+99.586,+95.180,+100.269,+99.845,+102.545,+104.758,+99.522,+96.006,+100.367,+104.962,+99.420,+95.950,+103.346,+96.580,+96.182,+102.458,+98.510,+99.775,+95.013,+98.059
0,16,+87.086,+94.925,+105.329,+111.139,+92.216,+97.726,+113.531,+93.964,+98.595,+117.664,+93.456,+93.076,+90.747,+92.387,+93.314,+113.262,+106.337,+113.871,+95.535,+108.344,+95.852,+96.587,+100.182,+96.217,+98.308,+98.648,+103.815,+98.472,+95.730,+104.309,+95.766,+101.597,+103.203,+95.817,+102.654,+101.951,+104.862,+103.774,+100.636,+100.934
0,17,+106.542,+109.131,+108.412,+85.273,+96.059,+112.367,+101.261,+81.298,+88.624,+101.678,+88.147,+121.525,+101.719,+97.248,+105.824,+100.972,+103.655,+94.381,+101.966,+117.898,+96.986,+99.367,+104.924,+98.277,+97.648,+100.694,+96.478,+98.836,+98.115,+102.064,+99.813,+103.474,+101.437,+100.299,+97.337,+102.754,+102.663,+104.824,+98.030,+101.882
0,18,+106.031,+101.760,+100.696,+94.041,+102.115,+92.941,+95.618,+114.439,+100.447,+103.032,+102.444,+96.326,+110.086,+103.478,+93.934,+109.012,+101.025,+103.544,+94.475,+97.866,+98.474,+99.045,+100.013,+104.731,+96.411,+95.316,+102.015,+99.695,+101.298,+102.857,+102.077,+103.774,+103.235,+100.244,+102.833,+100.368,+98.142,+96.662,+103.994,+101.056
0,19,+107.267,+106.011,+95.049,+110.131,+116.289,+87.264,+84.307,+106.396,+106.666,+103.363,+97.263,+100.968,+95.763,+93.022,+108.972,+103.117,+102.795,+108.234,+97.010,+107.349,+101.171,+102.762,+96.452,+97.932,+103.191,+104.409,+100.947,+103.689,+99.170,+99.187,+100.347,+96.644,+102.391,+102.840,+96.582,+98.751,+95.306,+103.644,+104.606,+96.309
0,20,+110.802,+89.151,+100.017,+106.892,+89.959,+111.009,+110.925,+103.107,+85.783,+82.364,+89.854,+99.945,+90.559,+91.476,+109.083,+108.596,+91.034,+98.892,+104.802,+96.493,+100.451,+102.068,+97.114,+95.359,+99.900,+101.471,+95.915,+103.909,+98.543,+103.948,+102.875,+100.469,+103.983,+99.052,+96.163,+102.820,+100.645,+103.438,+96.387,+96.702
