game,day,buyerGD_0.value,buyerGD_1.value,buyerGD_2.value,buyerGD_3.value,buyerGD_4.value,buyerRE_0.value,buyerRE_1.value,buyerRE_2.value,buyerRE_3.value,buyerRE_4.value,buyerZIC_0.value,buyerZIC_1.value,buyerZIC_2.value,buyerZIC_3.value,buyerZIC_4.value,buyerZIP_0.value,buyerZIP_1.value,buyerZIP_2.value,buyerZIP_3.value,buyerZIP_4.value,sellerGD_0.value,sellerGD_1.value,sellerGD_2.value,sellerGD_3.value,sellerGD_4.value,sellerRE_0.value,sellerRE_1.value,sellerRE_2.value,sellerRE_3.value,sellerRE_4.value,sellerZIC_0.value,sellerZIC_1.value,sellerZIC_2.value,sellerZIC_3.value,sellerZIC_4.value,sellerZIP_0.value,sellerZIP_1.value,sellerZIP_2.value,sellerZIP_3.value,sellerZIP_4.value
0,0,+62.490,+59.522,+56.666,+48.341,+71.486,+58.631,+68.234,+58.829,+64.542,+49.468,+50.562,+52.935,+45.172,+52.261,+65.182,+64.850,+61.274,+68.630,+76.514,+72.364,+100.297,+98.039,+104.741,+95.026,+97.986,+102.372,+101.318,+97.742,+104.891,+103.734,+96.897,+96.739,+96.122,+100.887,+98.955,+101.952,+96.883,+96.637,+103.343,+98.823
0,1,+167.214,+52.616,+61.590,+57.962,+50.917,+194.512,+82.350,+68.472,+140.152,+63.972,+79.887,+59.700,+85.863,+67.440,+125.412,+159.195,+17.199,+102.279,+101.836,+15.616,+101.950,+98.732,+95.264,+98.875,+101.239,+99.684,+102.342,+102.395,+102.532,+97.904,+95.069,+99.340,+100.737,+96.877,+97.899,+102.195,+102.498,+95.970,+98.341,+100.719
0,2,+37.405,+95.477,+118.426,+242.138,+114.807,+107.508,+46.258,+76.703,+71.105,+191.417,+184.432,+118.086,+159.904,+146.548,+22.388,+49.220,+125.858,+131.625,+84.114,+36.661,+103.353,+97.892,+95.290,+98.950,+104.679,+101.747,+99.479,+103.143,+104.761,+103.417,+99.408,+103.384,+98.293,+104.548,+101.995,+96.675,+104.797,+102.230,+104.071,+97.773
0,3,+224.510,+125.350,+22.567,+118.995,+77.312,+62.504,+147.393,+97.908,+132.775,+137.423,+40.851,+160.614,+226.064,+121.692,+142.289,+134.787,+17.813,+171.486,+79.049,+102.759,+101.685,+104.774,+100.443,+104.832,+100.998,+104.748,+98.317,+103.929,+97.556,+95.436,+100.764,+99.239,+102.592,+100.269,+96.780,+101.665,+104.155,+102.528,+98.510,+103.238
0,4,+22.091,+101.794,+29.025,+111.873,+132.501,+175.159,+164.082,+42.225,+131.975,+2.658,+27.713,+80.683,+2.672,+155.047,+18.088,+8.998,+100.656,+15.605,+115.235,+187.822,+99.914,+99.501,+99.774,+97.805,+95.725,+98.086,+96.116,+99.473,+104.224,+103.239,+96.967,+100.948,+99.421,+96.796,+104.501,+98.161,+98.055,+96.602,+97.040,+97.901
0,5,+87.306,+68.660,+200.436,+62.237,+135.054,+162.685,+85.749,+40.175,+86.787,+167.410,+93.676,+13.271,+117.389,+246.526,+106.258,+49.702,+18.728,+50.065,+20.595,+143.265,+102.913,+100.996,+101.953,+96.934,+99.287,+97.196,+101.411,+100.300,+101.621,+104.894,+100.992,+102.775,+98.892,+100.734,+96.470,+99.978,+95.615,+98.081,+100.264,+103.571
0,6,+30.768,+146.049,+80.031,+81.260,+44.498,+152.009,+119.646,+155.875,+125.741,+115.398,+186.776,+150.794,+122.452,+43.407,+95.565,+94.580,+6.544,+105.405,+129.452,+44.603,+97.749,+100.257,+96.173,+104.297,+102.593,+99.535,+95.715,+95.945,+100.646,+100.449,+98.453,+96.211,+100.752,+103.804,+104.381,+104.265,+99.438,+101.421,+101.865,+96.782
0,7,+39.067,+113.768,+92.330,+97.496,+164.018,+79.272,+99.226,+10.675,+152.392,+38.841,+46.674,+91.275,+89.063,+83.936,+165.394,+56.892,+110.830,+103.206,+109.617,+83.621,+104.688,+96.451,+95.490,+100.530,+101.770,+104.131,+97.943,+95.342,+99.183,+101.316,+99.697,+102.791,+100.901,+100.275,+101.929,+104.697,+102.907,+99.651,+99.523,+97.162
0,8,+109.898,+95.814,+129.231,+263.199,+107.936,+167.035,+63.854,+41.287,+33.978,+19.675,+147.410,+102.437,+107.423,+82.136,+96.885,+107.358,+110.341,+100.337,+164.884,+168.632,+101.744,+95.587,+97.483,+101.675,+96.130,+104.431,+97.318,+97.523,+101.515,+102.072,+99.941,+97.235,+100.129,+101.972,+100.841,+99.298,+97.310,+100.545,+95.393,+99.902
0,9,+233.952,+165.421,+213.436,+148.580,+150.626,+96.945,+130.816,+127.946,+191.729,+117.700,+108.685,+117.483,+167.798,+197.007,+81.612,+126.933,+164.823,+121.169,+37.808,+77.023,+101.600,+99.682,+99.088,+97.384,+101.747,+103.299,+101.513,+99.059,+101.256,+103.202,+101.438,+95.801,+98.179,+100.987,+98.542,+99.841,+100.834,+97.504,+102.288,+96.461
0,10,+125.633,+135.333,+8.218,+127.469,+46.047,+77.173,+77.159,+110.430,+48.578,+129.020,+61.301,+110.736,+174.232,+30.855,+82.502,+124.138,+75.104,+148.113,+149.566,+79.335,+101.804,+102.061,+97.005,+98.353,+103.040,+101.503,+103.734,+100.266,+98.306,+100.627,+97.703,+99.693,+100.840,+102.163,+97.100,+98.138,+101.530,+100.193,+102.216,+103.625
