game,day,CDA.ask.accepted.quantity,CDA.bid.accepted.quantity,CH.ask.accepted.quantity,CH.bid.accepted.quantity,CDA.ask.accepted.price.min,CDA.bid.accepted.price.min,CH.ask.accepted.price.min,CH.bid.accepted.price.min,CDA.ask.accepted.price.max,CDA.bid.accepted.price.max,CH.ask.accepted.price.max,CH.bid.accepted.price.max,CDA.ask.accepted.price.mean,CDA.bid.accepted.price.mean,CH.ask.accepted.price.mean,CH.bid.accepted.price.mean,CDA.ask.accepted.price.stdev,CDA.bid.accepted.price.stdev,CH.ask.accepted.price.stdev,CH.bid.accepted.price.stdev,CDA.transaction.quantity,CH.transaction.quantity,CDA.transaction.price.min,CH.transaction.price.min,CDA.transaction.price.max,CH.transaction.price.max,CDA.transaction.price.mean,CH.transaction.price.mean,CDA.transaction.price.stdev,CH.transaction.price.stdev
0,0,+20.000,+20.000,+13.000,+13.000,+96.905,+104.436,+100.445,+106.629,+124.829,+134.132,+115.800,+132.626,+113.284,+118.902,+107.235,+117.853,+7.387,+6.975,+5.395,+9.613,+20.000,+13.000,+100.670,+103.710,+125.429,+116.055,+116.093,+109.913,+6.608,+4.764
0,1,+18.000,+18.000,+16.000,+16.000,+98.347,+99.637,+101.542,+101.584,+112.678,+187.918,+118.936,+316.227,+104.277,+115.686,+108.149,+174.377,+4.912,+19.692,+4.911,+70.100,+18.000,+16.000,+98.992,+101.563,+146.926,+126.334,+109.981,+115.366,+11.169,+8.243
0,2,+17.000,+17.000,+13.000,+13.000,+98.490,+99.918,+99.266,+106.735,+115.629,+151.935,+106.420,+187.555,+104.089,+118.227,+101.693,+142.267,+4.349,+16.630,+2.246,+33.013,+17.000,+13.000,+99.530,+100.553,+128.056,+110.196,+111.158,+105.017,+9.557,+3.071
0,3,+21.000,+21.000,+12.000,+12.000,+97.431,+100.853,+99.651,+102.744,+129.672,+142.225,+111.018,+158.325,+103.094,+116.984,+104.489,+126.208,+7.665,+15.612,+3.291,+20.616,+21.000,+12.000,+99.142,+102.629,+135.949,+113.054,+110.039,+108.182,+10.212,+4.143
0,4,+15.000,+15.000,+16.000,+16.000,+97.779,+99.091,+99.556,+114.351,+104.454,+216.767,+129.171,+191.783,+100.776,+125.400,+109.028,+140.233,+2.359,+38.415,+7.814,+24.308,+15.000,+16.000,+98.683,+109.423,+160.611,+135.018,+113.088,+116.019,+20.004,+9.837
0,5,+13.000,+13.000,+15.000,+15.000,+100.142,+101.695,+98.250,+100.047,+130.398,+182.589,+116.361,+184.666,+106.479,+121.107,+102.262,+146.519,+8.751,+23.293,+4.415,+29.085,+13.000,+15.000,+100.919,+99.512,+143.755,+118.951,+113.793,+109.072,+14.408,+7.112
0,6,+18.000,+18.000,+20.000,+20.000,+97.224,+99.189,+101.066,+106.846,+107.591,+150.165,+115.439,+143.875,+100.280,+115.114,+105.886,+124.205,+2.797,+18.645,+3.618,+8.426,+18.000,+20.000,+98.948,+105.456,+125.305,+115.779,+107.697,+110.795,+9.538,+3.499
0,7,+19.000,+19.000,+6.000,+6.000,+96.132,+104.159,+97.748,+112.702,+127.270,+245.977,+101.572,+206.581,+109.384,+138.985,+99.304,+153.841,+9.654,+45.737,+1.597,+40.748,+19.000,+6.000,+102.978,+101.038,+186.623,+113.553,+124.184,+103.345,+25.658,+4.575
0,8,+24.000,+24.000,+21.000,+21.000,+97.118,+99.162,+100.129,+112.518,+130.173,+155.998,+115.439,+213.715,+107.166,+119.524,+105.177,+140.404,+9.527,+15.157,+3.151,+31.736,+24.000,+21.000,+98.152,+105.519,+143.086,+118.448,+113.345,+110.486,+11.519,+3.463
0,9,+8.000,+8.000,+16.000,+16.000,+95.942,+97.284,+98.962,+109.214,+109.360,+194.074,+117.745,+178.407,+100.758,+143.717,+105.021,+133.031,+4.372,+39.944,+5.672,+21.283,+8.000,+16.000,+96.613,+107.357,+148.519,+119.524,+122.238,+113.789,+19.904,+4.760
