game,day,CDA.ask.accepted.quantity,CDA.bid.accepted.quantity,CH.ask.accepted.quantity,CH.bid.accepted.quantity,CDA.ask.accepted.price.min,CDA.bid.accepted.price.min,CH.ask.accepted.price.min,CH.bid.accepted.price.min,CDA.ask.accepted.price.max,CDA.bid.accepted.price.max,CH.ask.accepted.price.max,CH.bid.accepted.price.max,CDA.ask.accepted.price.mean,CDA.bid.accepted.price.mean,CH.ask.accepted.price.mean,CH.bid.accepted.price.mean,CDA.ask.accepted.price.stdev,CDA.bid.accepted.price.stdev,CH.ask.accepted.price.stdev,CH.bid.accepted.price.stdev,CDA.transaction.quantity,CH.transaction.quantity,CDA.transaction.price.min,CH.transaction.price.min,CDA.transaction.price.max,CH.transaction.price.max,CDA.transaction.price.mean,CH.transaction.price.mean,CDA.transaction.price.stdev,CH.transaction.price.stdev
0,0,+18.000,+18.000,+14.000,+14.000,+109.129,+112.140,+99.777,+107.143,+139.730,+150.183,+113.874,+138.969,+121.018,+127.525,+106.527,+124.645,+7.830,+8.892,+3.941,+13.048,+18.000,+14.000,+110.635,+105.942,+140.799,+120.308,+124.271,+109.195,+7.073,+3.684
0,1,+21.000,+21.000,+14.000,+14.000,+110.116,+110.412,+98.168,+105.858,+123.133,+172.642,+112.796,+138.827,+113.545,+122.784,+104.075,+118.458,+3.525,+17.453,+4.434,+9.506,+21.000,+14.000,+110.412,+102.399,+141.527,+113.547,+118.165,+108.151,+9.360,+3.290
0,2,+24.000,+24.000,+20.000,+20.000,+103.467,+108.522,+98.825,+102.810,+113.854,+122.804,+109.199,+121.839,+109.355,+111.845,+103.879,+111.779,+2.676,+2.953,+2.664,+4.948,+24.000,+20.000,+106.878,+100.817,+116.566,+109.301,+110.600,+106.014,+2.460,+2.477
0,3,+23.000,+23.000,+9.000,+9.000,+96.974,+107.815,+96.257,+103.617,+117.767,+147.810,+104.070,+116.071,+110.158,+116.926,+100.815,+107.476,+4.717,+9.183,+2.186,+4.382,+23.000,+9.000,+102.394,+98.283,+130.476,+104.446,+113.542,+102.334,+6.137,+1.828
0,4,+19.000,+19.000,+10.000,+10.000,+95.941,+104.246,+101.616,+105.774,+116.720,+119.290,+110.431,+121.965,+107.403,+110.518,+104.844,+108.368,+4.129,+4.453,+2.298,+5.010,+19.000,+10.000,+100.093,+105.291,+118.005,+111.707,+108.961,+106.469,+3.944,+1.954
0,5,+22.000,+22.000,+13.000,+13.000,+97.904,+104.055,+100.792,+102.781,+112.913,+137.547,+105.810,+126.287,+105.638,+116.503,+104.051,+109.831,+4.232,+11.203,+1.276,+7.197,+22.000,+13.000,+100.979,+101.787,+125.230,+108.706,+111.070,+105.143,+6.711,+1.514
0,6,+29.000,+29.000,+12.000,+12.000,+98.092,+105.590,+97.245,+106.721,+114.636,+122.957,+110.278,+123.901,+106.897,+111.137,+103.252,+114.551,+3.192,+5.210,+4.625,+5.197,+29.000,+12.000,+103.767,+104.305,+118.797,+114.889,+109.017,+109.770,+3.772,+3.808
0,7,+22.000,+22.000,+6.000,+6.000,+99.475,+101.969,+102.692,+107.973,+113.198,+125.895,+104.314,+110.976,+105.399,+109.373,+103.464,+110.251,+3.435,+7.128,+0.694,+1.109,+22.000,+6.000,+100.722,+103.386,+119.546,+105.497,+107.386,+104.546,+5.062,+0.824
0,8,+23.000,+23.000,+6.000,+6.000,+97.968,+102.190,+97.291,+107.424,+108.573,+117.415,+104.324,+116.640,+102.459,+106.849,+101.941,+109.980,+2.028,+4.805,+2.534,+3.598,+23.000,+6.000,+100.079,+102.629,+112.994,+106.706,+104.654,+104.640,+3.157,+1.616
0,9,+21.000,+21.000,+7.000,+7.000,+97.219,+102.110,+98.681,+101.302,+111.576,+130.148,+104.200,+110.363,+105.436,+110.290,+99.961,+105.550,+3.812,+6.866,+1.810,+2.750,+21.000,+7.000,+101.044,+101.060,+120.862,+104.329,+107.863,+102.052,+5.033,+1.036
