game,day,CDA.ask.accepted.quantity,CDA.bid.accepted.quantity,CH.ask.accepted.quantity,CH.bid.accepted.quantity,CDA.ask.accepted.price.min,CDA.bid.accepted.price.min,CH.ask.accepted.price.min,CH.bid.accepted.price.min,CDA.ask.accepted.price.max,CDA.bid.accepted.price.max,CH.ask.accepted.price.max,CH.bid.accepted.price.max,CDA.ask.accepted.price.mean,CDA.bid.accepted.price.mean,CH.ask.accepted.price.mean,CH.bid.accepted.price.mean,CDA.ask.accepted.price.stdev,CDA.bid.accepted.price.stdev,CH.ask.accepted.price.stdev,CH.bid.accepted.price.stdev,CDA.transaction.quantity,CH.transaction.quantity,CDA.transaction.price.min,CH.transaction.price.min,CDA.transaction.price.max,CH.transaction.price.max,CDA.transaction.price.mean,CH.transaction.price.mean,CDA.transaction.price.stdev,CH.transaction.price.stdev
0,0,+18.000,+18.000,+7.000,+7.000,+99.957,+104.425,+98.741,+106.710,+117.705,+133.663,+119.822,+132.170,+110.590,+114.937,+108.154,+124.785,+5.522,+6.178,+6.845,+8.584,+18.000,+7.000,+102.626,+104.433,+122.901,+120.580,+112.764,+112.863,+4.947,+6.075
0,1,+21.000,+21.000,+5.000,+5.000,+102.320,+103.070,+98.359,+99.327,+109.328,+120.847,+104.161,+131.065,+105.771,+109.754,+101.805,+115.398,+2.325,+4.088,+2.198,+11.692,+21.000,+5.000,+103.070,+98.843,+113.155,+107.683,+107.762,+104.619,+2.741,+3.681
0,2,+13.000,+13.000,+10.000,+10.000,+99.511,+105.654,+95.129,+98.174,+109.328,+134.560,+110.303,+138.857,+105.529,+113.016,+104.059,+123.704,+3.133,+8.424,+6.189,+14.085,+13.000,+10.000,+104.230,+96.652,+118.456,+119.365,+109.272,+109.498,+4.232,+6.380
0,3,+17.000,+17.000,+10.000,+10.000,+100.650,+102.688,+101.028,+105.744,+111.693,+115.099,+108.096,+131.200,+105.069,+108.892,+103.907,+113.676,+2.614,+3.815,+2.300,+6.648,+17.000,+10.000,+102.080,+102.177,+113.226,+109.785,+106.981,+105.407,+2.927,+2.401
0,4,+16.000,+16.000,+8.000,+8.000,+98.986,+102.022,+99.528,+105.552,+106.225,+120.176,+110.955,+117.784,+102.801,+105.988,+105.326,+113.317,+2.138,+4.418,+4.101,+4.385,+16.000,+8.000,+100.925,+103.776,+112.120,+114.369,+104.394,+107.936,+2.929,+3.476
0,5,+10.000,+10.000,+13.000,+13.000,+97.443,+99.313,+95.850,+101.514,+103.310,+109.328,+101.419,+117.502,+100.309,+104.880,+99.877,+109.556,+1.800,+3.322,+1.379,+6.072,+10.000,+13.000,+98.920,+99.765,+106.319,+109.553,+102.595,+102.957,+2.391,+2.790
0,6,+18.000,+18.000,+7.000,+7.000,+97.149,+99.421,+105.322,+110.461,+103.310,+122.240,+107.907,+125.668,+101.033,+105.308,+106.006,+118.043,+1.603,+6.538,+0.914,+6.683,+18.000,+7.000,+98.819,+106.614,+112.775,+110.156,+103.170,+107.287,+3.759,+1.195
0,7,+11.000,+11.000,+13.000,+13.000,+101.237,+101.425,+97.699,+100.310,+102.241,+112.946,+109.920,+134.872,+101.509,+105.127,+102.936,+120.400,+0.327,+4.860,+4.126,+9.554,+11.000,+13.000,+101.331,+99.775,+107.593,+112.661,+103.318,+106.966,+2.542,+3.882
0,8,+14.000,+14.000,+7.000,+7.000,+100.220,+101.419,+97.987,+101.238,+107.814,+141.141,+101.256,+106.470,+103.189,+116.661,+100.006,+103.504,+2.478,+15.289,+1.334,+2.568,+14.000,+7.000,+100.819,+99.612,+123.982,+103.854,+109.925,+101.351,+8.367,+1.160
0,9,+15.000,+15.000,+13.000,+13.000,+100.540,+103.301,+98.121,+108.264,+108.248,+117.683,+107.233,+119.620,+102.518,+106.649,+102.960,+113.513,+1.858,+5.585,+3.157,+3.764,+15.000,+13.000,+101.921,+102.975,+112.966,+109.754,+104.584,+107.435,+3.410,+2.179
0,10,+13.000,+13.000,+6.000,+6.000,+101.368,+103.704,+96.707,+104.326,+110.384,+118.122,+103.429,+108.298,+103.989,+111.348,+100.252,+105.907,+2.493,+5.633,+2.099,+1.709,+13.000,+6.000,+102.976,+99.109,+114.253,+103.877,+107.668,+101.585,+3.550,+1.574
0,11,+26.000,+26.000,+11.000,+11.000,+97.563,+103.704,+99.142,+104.634,+108.210,+140.002,+106.457,+124.834,+104.511,+108.702,+103.459,+108.946,+2.058,+8.078,+2.160,+5.561,+26.000,+11.000,+102.643,+103.914,+122.164,+106.856,+106.606,+104.915,+4.296,+0.966
0,12,+16.000,+16.000,+11.000,+11.000,+98.720,+99.787,+99.769,+105.718,+104.326,+117.112,+110.194,+138.964,+102.652,+105.332,+103.101,+120.680,+2.034,+3.598,+3.067,+11.316,+16.000,+11.000,+99.254,+104.999,+108.214,+114.437,+103.992,+109.172,+2.005,+3.441
0,13,+13.000,+13.000,+7.000,+7.000,+99.554,+102.134,+103.360,+104.280,+104.824,+117.545,+104.694,+134.451,+102.805,+107.377,+104.267,+115.620,+1.430,+4.716,+0.450,+12.145,+13.000,+7.000,+101.570,+103.820,+111.185,+105.678,+105.091,+105.383,+2.568,+0.642
0,14,+17.000,+17.000,+15.000,+15.000,+98.523,+101.320,+96.406,+111.155,+103.565,+112.340,+116.437,+136.680,+102.118,+105.446,+105.019,+119.401,+1.668,+3.365,+6.122,+9.282,+17.000,+15.000,+100.041,+107.277,+107.635,+116.470,+103.782,+112.702,+2.312,+3.459
0,15,+22.000,+22.000,+13.000,+13.000,+101.721,+103.217,+100.128,+103.065,+107.366,+140.513,+112.693,+118.265,+103.694,+111.955,+105.146,+112.065,+1.518,+10.398,+3.017,+5.159,+22.000,+13.000,+102.849,+101.597,+123.546,+116.710,+107.824,+107.865,+5.527,+3.456
0,16,+13.000,+13.000,+12.000,+12.000,+99.713,+100.263,+95.739,+104.640,+104.788,+113.093,+120.408,+122.443,+102.026,+104.532,+103.598,+111.717,+1.578,+3.734,+6.504,+6.519,+13.000,+12.000,+99.988,+103.653,+107.495,+121.425,+103.279,+107.185,+2.318,+5.227
