game,day,buyerGD_0.value,buyerGD_1.value,buyerGD_2.value,buyerGD_3.value,buyerGD_4.value,buyerRE_0.value,buyerRE_1.value,buyerRE_2.value,buyerRE_3.value,buyerRE_4.value,buyerZIC_0.value,buyerZIC_1.value,buyerZIC_2.value,buyerZIC_3.value,buyerZIC_4.value,buyerZIP_0.value,buyerZIP_1.value,buyerZIP_2.value,buyerZIP_3.value,buyerZIP_4.value,sellerGD_0.value,sellerGD_1.value,sellerGD_2.value,sellerGD_3.value,sellerGD_4.value,sellerRE_0.value,sellerRE_1.value,sellerRE_2.value,sellerRE_3.value,sellerRE_4.value,sellerZIC_0.value,sellerZIC_1.value,sellerZIC_2.value,sellerZIC_3.value,sellerZIC_4.value,sellerZIP_0.value,sellerZIP_1.value,sellerZIP_2.value,sellerZIP_3.value,sellerZIP_4.value
0,0,+148.633,+195.253,+129.146,+115.806,+94.734,+163.136,+101.793,+116.523,+110.517,+166.640,+97.816,+79.097,+157.264,+167.678,+138.140,+125.702,+121.869,+66.710,+133.759,+127.294,+95.199,+97.913,+104.322,+103.043,+97.768,+104.802,+97.122,+102.869,+103.350,+96.298,+95.067,+103.905,+99.442,+100.503,+103.962,+96.213,+104.735,+100.590,+104.909,+97.813
0,1,+122.387,+94.604,+143.612,+149.597,+102.245,+136.774,+130.756,+80.960,+104.155,+128.560,+119.828,+116.936,+102.765,+102.616,+149.387,+85.084,+126.327,+143.455,+103.535,+129.941,+95.072,+103.781,+96.301,+98.652,+102.547,+96.563,+98.559,+98.294,+104.348,+95.393,+99.115,+95.777,+102.214,+99.682,+97.727,+104.260,+98.189,+99.686,+96.218,+97.522
0,2,+177.837,+145.084,+105.919,+113.904,+93.628,+140.891,+104.070,+64.385,+131.099,+111.357,+153.381,+88.427,+133.584,+121.941,+112.580,+128.641,+116.392,+108.869,+162.040,+123.089,+96.741,+99.137,+104.428,+103.557,+102.843,+100.660,+104.317,+101.092,+103.961,+102.061,+99.611,+95.213,+99.864,+104.564,+103.880,+95.558,+104.001,+101.119,+103.892,+99.116
0,3,+81.346,+92.188,+172.523,+143.212,+135.458,+104.602,+83.797,+132.159,+151.246,+128.704,+63.307,+128.838,+103.764,+120.645,+133.226,+133.992,+103.032,+175.054,+118.990,+96.987,+102.612,+103.189,+97.078,+99.917,+101.505,+103.665,+102.372,+97.619,+104.690,+95.922,+100.305,+99.383,+104.318,+96.727,+95.302,+104.140,+104.951,+104.071,+96.753,+102.494
0,4,+140.172,+114.374,+143.526,+113.563,+119.572,+148.188,+90.883,+86.881,+43.986,+121.211,+140.804,+156.115,+86.339,+108.589,+104.335,+120.194,+135.041,+146.100,+95.598,+166.075,+95.541,+100.362,+98.111,+98.938,+100.785,+100.762,+96.110,+100.620,+96.314,+103.827,+104.587,+100.056,+97.954,+98.631,+102.601,+96.471,+102.412,+104.841,+103.338,+100.145
0,5,+138.383,+92.721,+127.296,+141.851,+112.844,+113.458,+116.974,+146.005,+62.619,+61.596,+120.800,+93.813,+130.062,+97.442,+108.505,+165.149,+161.092,+154.408,+116.020,+158.319,+98.721,+103.963,+101.308,+104.882,+102.602,+100.276,+102.907,+97.513,+104.915,+99.481,+98.119,+98.486,+96.891,+97.949,+104.156,+100.640,+96.071,+97.616,+103.386,+100.546
0,6,+77.084,+151.889,+98.298,+116.557,+86.536,+158.420,+118.797,+91.251,+110.343,+120.065,+62.908,+120.500,+101.039,+97.001,+152.074,+137.887,+121.784,+195.014,+111.066,+144.440,+102.946,+102.634,+100.365,+101.753,+101.671,+102.293,+100.222,+95.614,+102.185,+100.012,+102.791,+97.942,+104.659,+102.662,+102.170,+102.979,+103.167,+104.652,+104.704,+101.360
0,7,+132.884,+98.737,+68.428,+105.754,+160.003,+116.081,+111.793,+86.655,+119.305,+152.604,+93.493,+131.717,+142.620,+80.185,+157.331,+138.409,+104.392,+79.280,+168.037,+132.034,+101.732,+101.845,+102.121,+102.311,+96.816,+97.666,+101.467,+99.829,+101.913,+95.835,+103.501,+96.430,+101.190,+101.001,+96.515,+104.745,+100.336,+99.868,+96.130,+99.992
0,8,+120.635,+84.089,+144.176,+142.075,+103.178,+128.058,+105.138,+129.116,+75.687,+97.259,+68.419,+205.262,+133.234,+120.329,+105.557,+76.174,+122.646,+106.437,+145.837,+74.456,+100.228,+95.532,+101.251,+95.606,+104.643,+97.374,+101.037,+101.100,+104.842,+100.575,+102.098,+97.140,+95.650,+100.412,+97.319,+104.494,+97.698,+98.705,+103.281,+96.887
0,9,+156.574,+138.853,+92.694,+172.949,+116.016,+145.191,+110.065,+139.808,+94.360,+81.020,+181.359,+127.063,+124.510,+114.256,+101.565,+127.315,+113.538,+134.890,+68.278,+139.045,+102.117,+104.184,+95.453,+102.886,+101.652,+101.839,+104.908,+97.257,+98.562,+99.229,+104.819,+99.087,+101.638,+101.504,+95.463,+101.368,+100.974,+96.926,+97.614,+101.125
0,10,+208.207,+136.782,+106.720,+160.446,+101.868,+119.640,+138.646,+120.682,+85.484,+135.810,+164.354,+131.231,+138.761,+104.778,+160.679,+88.225,+136.682,+108.140,+76.984,+127.962,+100.951,+104.557,+101.294,+99.721,+100.343,+100.071,+96.006,+95.716,+103.943,+100.852,+101.128,+101.057,+101.865,+98.328,+101.626,+104.922,+101.181,+103.105,+103.746,+97.495
