game,day,CDA.ask.accepted.quantity,CDA.bid.accepted.quantity,CDA.ask.accepted.price.min,CDA.bid.accepted.price.min,CDA.ask.accepted.price.max,CDA.bid.accepted.price.max,CDA.ask.accepted.price.mean,CDA.bid.accepted.price.mean,CDA.ask.accepted.price.stdev,CDA.bid.accepted.price.stdev,CDA.transaction.quantity,CDA.transaction.price.min,CDA.transaction.price.max,CDA.transaction.price.mean,CDA.transaction.price.stdev
0,0,+15.000,+15.000,+98.574,+107.582,+122.400,+144.684,+108.500,+122.901,+6.949,+12.039,+15.000,+103.078,+127.066,+115.700,+8.161
0,1,+17.000,+17.000,+96.936,+99.207,+106.856,+115.682,+102.087,+107.758,+2.639,+4.732,+17.000,+98.071,+111.269,+104.923,+3.068
0,2,+12.000,+12.000,+98.897,+101.029,+104.072,+106.350,+102.601,+104.359,+1.961,+1.418,+12.000,+100.215,+105.211,+103.480,+1.495
0,3,+14.000,+14.000,+98.913,+99.457,+103.036,+120.758,+100.689,+111.015,+1.110,+7.986,+14.000,+99.457,+111.897,+105.852,+4.205
0,4,+6.000,+6.000,+95.717,+96.966,+99.099,+105.584,+97.208,+102.541,+1.276,+2.892,+6.000,+96.341,+101.342,+99.874,+1.650
0,5,+9.000,+9.000,+98.079,+99.389,+102.654,+146.325,+99.950,+107.131,+1.513,+14.283,+9.000,+98.734,+124.490,+103.541,+7.752
0,6,+17.000,+17.000,+97.448,+99.206,+101.309,+160.830,+99.258,+105.621,+0.930,+14.391,+17.000,+98.526,+130.217,+102.440,+7.270
0,7,+22.000,+22.000,+96.114,+101.309,+110.728,+125.478,+102.089,+106.617,+3.317,+5.843,+22.000,+98.711,+118.103,+104.353,+4.263
0,8,+7.000,+7.000,+96.631,+102.901,+104.037,+188.438,+100.485,+144.591,+2.862,+38.167,+7.000,+102.841,+146.238,+122.538,+19.147
0,9,+3.000,+3.000,+99.738,+103.628,+103.466,+103.628,+101.119,+103.628,+1.668,+0.000,+3.000,+101.683,+103.547,+102.374,+0.834
0,10,+6.000,+6.000,+96.532,+99.606,+99.606,+100.030,+98.377,+99.818,+1.147,+0.212,+6.000,+98.281,+99.818,+99.098,+0.601
0,11,+10.000,+10.000,+95.862,+99.800,+104.757,+148.861,+100.523,+115.132,+3.058,+15.542,+10.000,+97.831,+126.809,+107.827,+8.866
0,12,+15.000,+15.000,+97.643,+99.826,+111.791,+119.922,+100.627,+107.386,+3.384,+8.418,+15.000,+98.764,+115.856,+104.006,+5.443
0,13,+17.000,+17.000,+96.383,+98.108,+128.002,+147.451,+101.794,+107.422,+7.123,+11.438,+17.000,+97.426,+137.726,+104.608,+9.028
0,14,+13.000,+13.000,+98.364,+100.367,+103.323,+170.138,+100.255,+123.965,+1.555,+23.048,+13.000,+99.629,+135.758,+112.110,+11.711
