game,day,buyerGD_0.value,buyerGD_1.value,buyerGD_2.value,buyerGD_3.value,buyerGD_4.value,buyerRE_0.value,buyerRE_1.value,buyerRE_2.value,buyerRE_3.value,buyerRE_4.value,buyerZIC_0.value,buyerZIC_1.value,buyerZIC_2.value,buyerZIC_3.value,buyerZIC_4.value,buyerZIP_0.value,buyerZIP_1.value,buyerZIP_2.value,buyerZIP_3.value,buyerZIP_4.value,sellerGD_0.value,sellerGD_1.value,sellerGD_2.value,sellerGD_3.value,sellerGD_4.value,sellerRE_0.value,sellerRE_1.value,sellerRE_2.value,sellerRE_3.value,sellerRE_4.value,sellerZIC_0.value,sellerZIC_1.value,sellerZIC_2.value,sellerZIC_3.value,sellerZIC_4.value,sellerZIP_0.value,sellerZIP_1.value,sellerZIP_2.value,sellerZIP_3.value,sellerZIP_4.value
0,0,+159.544,+175.084,+153.049,+148.602,+141.578,+164.379,+143.931,+148.841,+146.839,+165.547,+142.605,+136.366,+162.421,+165.893,+156.047,+151.901,+150.623,+132.237,+154.586,+152.431,+95.199,+97.913,+104.322,+103.043,+97.768,+104.802,+97.122,+102.869,+103.350,+96.298,+95.067,+103.905,+99.442,+100.503,+103.962,+96.213,+104.735,+100.590,+104.909,+97.813
0,1,+141.824,+123.554,+145.241,+134.619,+130.349,+142.485,+153.779,+145.924,+111.123,+146.250,+133.406,+197.611,+133.146,+122.828,+184.096,+173.864,+147.176,+151.980,+172.820,+177.366,+103.251,+101.626,+99.053,+99.960,+96.255,+95.961,+103.342,+98.338,+99.627,+98.010,+96.489,+95.217,+95.843,+95.692,+95.849,+95.863,+102.708,+103.384,+101.452,+96.986
0,2,+107.366,+156.390,+191.344,+137.337,+137.159,+113.783,+127.213,+154.622,+108.016,+135.407,+116.557,+171.121,+174.590,+135.584,+143.138,+108.716,+166.679,+162.088,+134.939,+109.231,+102.241,+102.117,+99.671,+98.176,+103.255,+97.855,+97.223,+103.667,+95.902,+99.420,+104.057,+103.877,+103.567,+97.396,+102.915,+103.347,+96.322,+96.193,+99.257,+100.151
0,3,+127.246,+168.991,+156.334,+103.603,+124.603,+129.700,+147.658,+146.370,+132.965,+102.433,+138.724,+169.231,+186.861,+154.791,+146.733,+118.239,+154.884,+109.983,+143.632,+120.474,+100.570,+97.825,+95.803,+102.829,+99.531,+103.605,+97.593,+101.910,+101.172,+101.047,+100.336,+96.887,+101.236,+102.042,+103.460,+99.482,+102.764,+99.831,+100.436,+99.281
0,4,+162.559,+112.024,+131.290,+120.191,+129.410,+113.295,+127.244,+153.439,+130.895,+100.395,+134.372,+137.587,+154.806,+139.056,+151.089,+160.147,+169.505,+148.520,+170.931,+142.232,+99.233,+97.833,+101.428,+96.729,+96.112,+102.687,+103.420,+96.912,+97.928,+100.326,+103.886,+95.722,+99.649,+100.325,+99.616,+99.023,+101.577,+103.707,+102.144,+101.692
0,5,+100.219,+122.139,+131.985,+136.716,+152.559,+111.645,+131.496,+103.589,+104.120,+148.599,+146.217,+155.849,+108.711,+82.888,+119.810,+179.048,+104.976,+117.623,+115.473,+168.053,+97.192,+96.710,+103.460,+95.725,+97.641,+95.562,+99.910,+97.444,+104.581,+104.799,+102.497,+104.210,+95.100,+97.014,+100.855,+95.871,+95.158,+96.682,+103.160,+102.487
0,6,+131.199,+97.566,+130.994,+151.675,+114.402,+132.093,+128.639,+134.733,+146.803,+112.525,+116.189,+142.406,+138.018,+101.544,+152.880,+114.169,+107.273,+129.112,+110.820,+116.799,+101.929,+98.294,+99.883,+100.533,+96.754,+97.968,+96.688,+102.726,+98.716,+95.952,+101.323,+98.258,+101.530,+102.551,+100.265,+100.863,+96.206,+100.309,+101.846,+97.040
0,7,+104.319,+151.440,+155.532,+108.959,+129.935,+143.354,+136.951,+157.799,+97.793,+140.928,+98.285,+147.776,+124.587,+143.751,+113.751,+125.790,+122.017,+125.422,+136.518,+86.499,+96.428,+98.846,+101.986,+103.884,+100.613,+95.462,+98.366,+101.988,+97.999,+102.079,+104.932,+104.918,+99.826,+97.624,+100.379,+102.671,+100.635,+97.239,+104.809,+101.396
0,8,+138.070,+100.400,+117.244,+116.165,+147.671,+164.147,+116.766,+131.686,+74.775,+133.622,+128.193,+126.925,+123.122,+159.328,+159.116,+114.848,+136.988,+129.921,+169.415,+132.448,+101.214,+103.575,+104.114,+101.555,+103.873,+96.065,+101.461,+103.211,+100.955,+96.706,+96.803,+102.178,+103.203,+97.414,+101.514,+95.035,+95.307,+104.721,+98.740,+96.675
0,9,+130.455,+149.557,+143.951,+109.490,+174.124,+114.948,+116.087,+122.783,+108.105,+119.683,+128.969,+121.671,+135.341,+112.818,+141.596,+111.066,+161.280,+125.084,+129.069,+117.863,+96.389,+103.285,+103.548,+103.287,+104.466,+98.331,+103.912,+96.424,+103.893,+97.529,+102.337,+104.743,+103.937,+97.539,+95.630,+100.988,+97.661,+101.809,+100.805,+95.000
