game,day,CDA.ask.accepted.quantity,CDA.bid.accepted.quantity,CDA.ask.accepted.price.min,CDA.bid.accepted.price.min,CDA.ask.accepted.price.max,CDA.bid.accepted.price.max,CDA.ask.accepted.price.mean,CDA.bid.accepted.price.mean,CDA.ask.accepted.price.stdev,CDA.bid.accepted.price.stdev,CDA.transaction.quantity,CDA.transaction.price.min,CDA.transaction.price.max,CDA.transaction.price.mean,CDA.transaction.price.stdev
0,0,+3.000,+3.000,+95.392,+97.532,+97.852,+97.852,+96.925,+97.639,+1.092,+0.151,+3.000,+96.462,+97.852,+97.282,+0.595
0,1,+0.000,+0.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,+0.000,NaN,NaN,NaN,NaN
0,2,+0.000,+0.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,+0.000,NaN,NaN,NaN,NaN
0,3,+0.000,+0.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,+0.000,NaN,NaN,NaN,NaN
0,4,+0.000,+0.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,+0.000,NaN,NaN,NaN,NaN
0,5,+0.000,+0.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,+0.000,NaN,NaN,NaN,NaN
0,6,+0.000,+0.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,+0.000,NaN,NaN,NaN,NaN
0,7,+0.000,+0.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,+0.000,NaN,NaN,NaN,NaN
0,8,+3.000,+3.000,+96.905,+110.717,+98.023,+118.717,+97.278,+116.051,+0.527,+3.771,+3.000,+103.811,+108.370,+106.664,+2.030
0,9,+14.000,+14.000,+96.905,+96.905,+120.576,+164.904,+105.697,+127.445,+7.424,+26.577,+14.000,+96.905,+136.329,+116.571,+16.232
0,10,+4.000,+4.000,+95.723,+99.923,+96.905,+112.746,+96.402,+104.133,+0.519,+5.236,+4.000,+97.823,+104.409,+100.267,+2.578
0,11,+0.000,+0.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,+0.000,NaN,NaN,NaN,NaN
0,12,+6.000,+6.000,+98.242,+109.217,+104.045,+164.129,+100.982,+128.751,+1.886,+21.116,+6.000,+103.730,+132.256,+114.866,+10.380
0,13,+15.000,+15.000,+97.948,+99.106,+144.834,+222.375,+106.927,+146.073,+11.763,+40.907,+15.000,+98.527,+161.437,+126.500,+22.721
0,14,+20.000,+20.000,+98.712,+100.806,+161.370,+165.751,+112.501,+131.035,+17.000,+23.297,+20.000,+100.082,+162.997,+121.768,+18.491
0,15,+18.000,+18.000,+96.042,+98.186,+104.881,+115.530,+99.509,+104.088,+2.818,+5.572,+18.000,+97.377,+110.206,+101.798,+3.866
0,16,+10.000,+10.000,+98.809,+104.419,+112.678,+147.335,+104.105,+117.229,+3.391,+17.572,+10.000,+102.735,+125.890,+110.667,+8.879
0,17,+17.000,+17.000,+97.073,+101.025,+130.341,+191.653,+104.811,+121.402,+6.712,+32.706,+17.000,+99.049,+160.997,+113.107,+18.510
0,18,+12.000,+12.000,+100.204,+100.218,+104.757,+159.086,+102.993,+123.795,+1.490,+22.462,+12.000,+100.211,+131.765,+113.394,+11.491
0,19,+24.000,+24.000,+95.920,+100.466,+129.957,+205.632,+107.933,+131.534,+10.249,+33.161,+24.000,+99.258,+163.718,+119.734,+19.886
0,20,+23.000,+23.000,+98.969,+100.019,+119.140,+155.553,+107.678,+117.489,+5.494,+13.875,+23.000,+99.494,+135.880,+112.584,+9.326
0,21,+31.000,+31.000,+99.052,+103.070,+134.093,+193.383,+109.851,+122.717,+10.151,+25.685,+31.000,+101.407,+163.738,+116.284,+16.862
0,22,+28.000,+28.000,+96.662,+96.892,+144.166,+167.958,+105.264,+128.693,+9.067,+24.773,+28.000,+96.777,+154.804,+116.979,+14.999
